Site name,PFPrA,PFBA,PFPeA,PFHxA,PFHpA,PFOA,PFNA,PFDA,PFU0A,PFDoDA,PFTrDA,PFTeDA,PFHxDA,PFOcDA,PFPrS,PFEtS,PFBS,PFPeS,PFHxS,PFHpS,PFOS,PFNS,PFDS,PFUdS,PFDoS,PFTrDS,FBSA,FHxSA,FHpSA,FOSA,FDSA,MeFBSA,MeFOSA,EtFOSA,FOSAA,MeFOSAA,EtFOSAA,3:3 Acid,4:3 Acid,5:3 Acid,7:3 Acid,6:2 FTCA,8:2 FTCA,10:2 FTCA,6:2 FTUCA,8:2 FTUCA,10:2 FTUCA,4:2 FTSA,6:2 FTSA,8:2 FTSA,10:2 FTSA,6:6 PFPi,6:8 PFPi,8:8 PFPi,PFHxPA,PFOPA,PFECHS,Gen-X,ADONA,6:2 Cl-PFESA,8:2 Cl-PFESA,PFMPA,PFMBA,"3,6-OPFHpA",PFEESA,PFHxSAm,PFOSAm,PFHxSAmS,PFOSAmS,PFOANO,PFOSNO,PFOAB,PFOSB,5:3 FTB,5:1:2 FTB,6:2 FTAB,Cl-PFOS
Petite Rivi?re Du Ch?ne ? Leclercville,0,1.39,0.61,0.37,0.42,0.5,0.12,0,0,0,0,0,0,0,0,0,0.27,0.01,0.04,0,0.2,0,0,0,0,0,0,0,0,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOU1,0.214,2.554,1.363,1.366,0.944,1.925,0.253,0.05,0,0,0,0,0,0,0.08,0,0.592,0.13,0.757,0.042,2.916,0,0,0,0,0,0.098,0,0,0.073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOU2,0,2.3,1.24,1.38,0.89,1.8,0.27,0.052,0,0,0,0,0,0,0.07,0,0.51,0.12,0.69,0.04,2.66,0,0.01,0,0,0,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOU3,0,2.51,1.31,1.48,0.93,2.01,0.28,0.049,0,0,0,0,0,0,0.07,0,0.6,0.12,0.73,0.05,2.12,0,0,0,0,0,0.16,0,0,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHA1,0,2.02,1.02,1,0.79,1.24,0.18,0.04,0,0,0,0,0,0,0.06,0,0.43,0.08,0.48,0.03,1.88,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHA2,0,2.18,1.29,1.37,0.91,1.77,0.24,0.043,0,0,0,0,0,0,0.07,0,0.59,0.12,0.67,0.03,2.49,0,0,0,0,0,0.07,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHA3,0,2.24,1.21,1.3,0.87,1.74,0.22,0.062,0,0,0,0,0,0,0.08,0,0.56,0.11,0.67,0.04,2.42,0,0,0,0,0,0.06,0,0,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CON1,0,1.88,1.08,1.04,0.73,1.31,0.24,0.05,0,0,0,0,0,0,0,0,0.41,0.07,0.49,0.02,1.96,0,0,0,0,0,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0,0,0,0,0,0.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CON2,0,2.166,1.23,1.341,0.883,1.771,0.267,0.059,0,0,0,0,0,0,0.071,0,0.517,0.113,0.688,0.036,2.586,0,0,0,0,0,0.128,0,0,0.095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CON3,0,2.35,1.31,1.61,1,2.22,0.34,0.062,0,0,0,0,0,0,0.09,0,0.61,0.13,0.81,0.05,2.97,0,0.01,0,0,0,0.15,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0.08,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IRQ1,0,2.65,1.35,1.58,0.86,1.72,0.26,0.035,0,0,0,0,0,0,0.07,0,0.67,0.16,0.79,0.05,2.77,0,0.04,0,0,0,0.21,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IRQ1v5,0,2.52,1.23,1.48,0.98,1.86,0.25,0.047,0,0,0,0,0,0,0.07,0,0.47,0.13,0.72,0.04,2.35,0,0,0,0,0,0.18,0,0,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IRQ2,0,2.4,1.25,1.47,0.91,1.94,0.26,0.044,0,0,0,0,0,0,0.07,0,0.53,0.14,0.74,0.05,2.79,0,0,0,0,0,0.15,0.03,0,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0
LSF2,0,2.43,1.33,1.52,1.04,1.98,0.26,0.052,0,0,0,0,0,0,0.08,0,0.48,0.12,0.73,0.04,2.62,0,0,0,0,0,0.24,0.03,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
