Site name,Latitude,Longitude
Rivi?re L'Acadie ? Chambly,45.4527,-73.3097
Rivi?re Lancaster ? South Lancaster (Ontario),45.128161,-74.493919
Rivi?re L'Assomption ? Joliette,46.0242,-73.434
Rivi?re L'Assomption ? Repentigny,45.7553,-73.46352
Rivi?re Little Salmon (USA),45.650844,-74.901919
Rivi?re Mascouche ? Terrebonne #1 ,45.6951,-73.5934
Rivi?re Mascouche ? Terrebonne #2,45.6974,-73.5939
Rivi?re Maskinong? ? Maskinong?,46.22814,-73.01597
Rivi?re Mistassini ? Dolbeau-Mistassini,48.8698,-72.2092
Rivi?re Montmorency ? Qu?bec,46.8861,-71.1453
Rivi?re Nicolet ? Nicolet,46.2275,-72.62389
Rivi?re Ogdensburg ? Ogdensburg (USA),44.690139,-75.49375
Rivi?re Ouiatchouaniche ? Roberval,48.5264,-72.2224
Rivi?re Peribonka ? P?ribonka,48.7656,-72.0532
Rivi?re Raquette ? Akwesasne (USA),44.978531,-74.717089
Rivi?re Richelieu ? Chambly,45.4459,-73.2626
Rivi?re Richelieu ? Iberville (Saint-Jean-sur-Richelieu),45.3059,-73.2438
Rivi?re Richelieu ? Saint-Blaise-sur-Richelieu,45.1946,-73.2607
Rivi?re Richelieu ? Sorel-Tracy,46.019605,-73.132377
Rivi?re Saint-Charles ? Qu?bec,46.8199,-71.22
Rivi?re Sainte-Anne ? Beaupr?,47.048547,-70.883153
Rivi?re Sainte-Anne ? Sainte-Anne-de-la-P?rade,46.571331,-72.206231
Rivi?re Saint-Fran?ois ? Drummondville,45.8845,-72.4722
Rivi?re Saint-Fran?ois ? Fleurimont (Sherbrooke),45.4396,-71.9164
Rivi?re Saint-Fran?ois ? Pierreville,46.06687,-72.81258
Rivi?re Saint-Jacques ? Brossard #1,45.4321,-73.4842
Rivi?re Saint-Jacques ? Brossard #2,45.431238,-73.487156
Rivi?re Saint-Jacques ? Brossard #3,45.4294,-73.477
Rivi?re Saint-Louis ? Beauharnois,45.314311,-73.879944
Rivi?re Saint-Maurice ? Grandes Piles,46.6834,-72.7226
Rivi?re Saint-Maurice ? Grand-M?re,46.6203,-72.6743
Rivi?re Saint-Maurice ? la Tuque,47.4575,-72.7775
Rivi?re Saint-Maurice ? Rivi?re-Mattawin (Pont M?kinac),46.9056,-72.9302
Rivi?re Saint-Maurice ? Shawinigan,46.5346,-72.7537
Rivi?re Saint-Maurice ? Trois-Rivi?res,46.3647,-72.5521
Rivi?re Saint-R?gis ? Sainte-Catherine,45.3993,-73.5639
Rivi?re Varennes ? Varennes,45.671156,-73.435808
Rivi?re Yamachiche ? Yamachiche,46.2662,-72.8066
Rivi?re Yamaska ? Saint-Hyacinthe,45.6745,-72.9309
Rivi?re Yamaska ? Yamaska,46.0052,-72.9121
"Ruisseau ""Bauxite"" ? Saint-Jean-Eudes (Jonqui?re)",48.4356,-71.1432
Ruisseau Bertrand ? Montreal,45.5054,-73.7625
Ruisseau Bouchard ? Dorval,45.456246,-73.7372
Ruisseau Henri Giroux ? Mirabel (HG1),45.6824,-74.10486
Ruisseau Henri Giroux ? Mirabel (HG2),45.655743,-74.091661
Ruisseau La Pini?re ? Laval,45.6244,-73.64
"Unname Creek ""Lesage"" ? Cap-Rouge (Qu?bec)",46.7748,-71.3725
