Site,PFPrA,PFBA,PFPeA,PFHxA,PFHpA,PFOA,PFNA,PFDA,PFUnDA,PFDoDA,PFTrDA,PFTeDA,PFHxDA,PFOcDA,PFPrS,PFEtS,PFBS,PFPeS,PFHxS,PFHpS,PFOS,PFNS,PFDS,PFUdS,PFDoS,PFTrDS,FBSA,FHxSA,FHpSA,FOSA,FDSA,MeFBSA,MeFOSA,EtFOSA,FOSAA,MeFOSAA,EtFOSAA,3:3 Acid,4:3 Acid,5:3 Acid,7:3 Acid,6:2 FTCA,8:2 FTCA,10:2 FTCA,6:2 FTUCA,8:2 FTUCA,10:2 FTUCA,4:2 FTSA,6:2 FTSA,8:2 FTSA,10:2 FTSA,6:6 PFPi,6:8 PFPi,8:8 PFPi,PFHxPA,PFOPA,PFECHS,Gen-X,ADONA,6:2 Cl-PFESA,8:2 Cl-PFESA,PFMPA,PFMBA,"3,6-OPFHpA",PFEESA,PFHxSAm,PFOSAm,PFHxSAmS,PFOSAmS,PFOANO,PFOSNO,PFOAB,PFOSB,5:3 FTB,5:1:2 FTB,6:2 FTAB,Cl-PFOS
Rivi?re Chaudi?re ? L?vis,1.86,2.05,1.71,2.27,1.65,1.15,0.24,0.03,nd,nd,nd,nd,nd,nd,nd,nd,0.52,0.04,0.13,nd,0.51,nd,nd,nd,nd,nd,0.03,nd,nd,0.12,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.03,0.09,0.05,0.17,nd,0.13,nd,nd,nd,nd,nd,nd
Rivi?re Chicoutimi ? Chicoutimi,nd,0.2,0.15,0.27,0.28,0.3,0.17,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.09,nd,0.04,nd,0.22,nd,nd,nd,nd,nd,0.03,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
Rivi?re Des Ha ? Boilleau,nd,nd,0.13,0.33,0.22,0.19,0.1,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.18,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
Rivi?re Des Ha ? la Baie,nd,0.57,0.16,0.36,0.2,0.24,0.07,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.09,nd,nd,nd,0.22,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
"Rivi?re Des Mille Iles, point #1",0.67,0.29,0.3,0.51,0.55,0.5,0.21,0.04,nd,nd,nd,nd,nd,nd,nd,nd,0.19,nd,0.07,nd,0.43,nd,nd,nd,nd,nd,0.03,nd,nd,0.07,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
"Rivi?re Des Mille Iles, point #2",nd,1.46,0.37,0.56,0.5,0.51,0.2,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.2,nd,0.1,nd,0.76,nd,nd,nd,nd,nd,0.03,nd,nd,0.08,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
"Rivi?re Des Mille Iles, point #3",nd,1.23,0.53,1.25,0.55,0.82,0.19,0.05,nd,nd,nd,nd,nd,nd,nd,nd,0.47,nd,0.13,nd,0.77,nd,nd,nd,nd,nd,0.09,nd,nd,0.11,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
"Rivi?re Des Mille Iles, point #4",nd,0.71,0.23,0.57,0.57,0.29,0.24,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.23,nd,0.12,nd,0.58,nd,nd,nd,nd,nd,0.04,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
"Rivi?re Des Mille Iles, point #5",0.93,1.46,0.85,0.85,0.74,0.48,0.25,0.03,nd,nd,nd,nd,nd,nd,nd,nd,0.35,nd,0.18,0.02,0.63,nd,nd,nd,nd,nd,nd,nd,nd,0.2,nd,nd,nd,0.09,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.15,0.11,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.09,nd,nd,nd,nd,nd,0.03,nd,nd
Rivi?re Des Outaouais ? Saint-Placide,nd,0.44,0.39,0.34,nd,0.45,0.17,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.13,nd,0.07,nd,0.35,nd,nd,nd,nd,nd,0.04,nd,nd,0.05,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.06,nd,nd
