Site,PFPrA,PFBA,PFPeA,PFHxA,PFHpA,PFOA,PFNA,PFDA,PFUnDA,PFDoDA,PFTrDA,PFTeDA,PFHxDA,PFOcDA,PFPrS,PFEtS,PFBS,PFPeS,PFHxS,PFHpS,PFOS,PFNS,PFDS,PFUdS,PFDoS,PFTrDS,FBSA,FHxSA,FHpSA,FOSA,FDSA,MeFBSA,MeFOSA,EtFOSA,FOSAA,MeFOSAA,EtFOSAA,3:3 Acid,4:3 Acid,5:3 Acid,7:3 Acid,6:2 FTCA,8:2 FTCA,10:2 FTCA,6:2 FTUCA,8:2 FTUCA,10:2 FTUCA,4:2 FTSA,6:2 FTSA,8:2 FTSA,10:2 FTSA,6:6 PFPi,6:8 PFPi,8:8 PFPi,PFHxPA,PFOPA,PFECHS,Gen-X,ADONA,6:2 Cl-PFESA,8:2 Cl-PFESA,PFMPA,PFMBA,"3,6-OPFHpA",PFEESA,PFHxSAm,PFOSAm,PFHxSAmS,PFOSAmS,PFOANO,PFOSNO,PFOAB,PFOSB,5:3 FTB,5:1:2 FTB,6:2 FTAB,Cl-PFOS
Lac Saint-Jean ? Saint-Prime,nd,0.24,0.14,0.29,0.28,0.18,0.11,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.07,nd,nd,nd,0.12,nd,nd,nd,nd,nd,0.03,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
2021_BOU1,nd,2.11,1.32,1.36,0.9,2.14,0.23,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.57,0.1,0.73,0.03,2.54,nd,nd,nd,nd,nd,0.21,nd,nd,0.07,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.48,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.02,nd,nd
2021_BOU2,nd,1.63,1.3,1.63,1.09,1.69,0.19,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.53,0.09,0.85,0.03,2.16,nd,nd,nd,nd,nd,0.17,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.48,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
2021_BOU3,nd,2.22,2.95,3.16,1.11,2.01,0.34,nd,nd,nd,nd,nd,nd,nd,0.04,nd,0.57,0.11,0.76,0.03,2.85,nd,nd,nd,nd,nd,0.25,nd,nd,0.05,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,1.37,nd,nd,nd,nd,nd,nd,nd,0.47,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
2021_BOU4,nd,1.56,1.43,1.64,0.91,1.86,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.56,0.1,0.77,0.03,2.07,nd,nd,nd,nd,nd,0.23,0.03,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.5,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.05,nd,nd
2021_BR_08,nd,1.83,1.32,1.54,0.98,1.73,0.13,nd,nd,nd,nd,nd,nd,nd,0.07,nd,0.65,0.11,0.78,0.02,2.88,nd,nd,nd,nd,nd,0.52,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.47,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.03,nd,nd
2021_BR_09,nd,2.13,1.78,1.94,1.04,2.36,0.37,nd,nd,nd,nd,nd,nd,nd,0.04,nd,0.6,0.11,0.81,0.05,3.72,nd,nd,nd,nd,nd,0.33,0.03,nd,0.09,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.57,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.03,nd,nd
2021_BR_11,nd,2.96,1.57,1.97,1.14,2.21,0.22,nd,nd,nd,nd,nd,nd,nd,0.07,nd,0.71,0.15,0.92,0.05,2.47,nd,nd,nd,nd,nd,0.2,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.39,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
2021_BR_12,nd,1.71,1.5,1.75,0.93,2.15,0.3,0.06,nd,nd,nd,nd,nd,nd,0.08,nd,0.53,0.1,0.75,0.02,2.63,nd,nd,nd,nd,nd,0.14,nd,nd,0.08,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.54,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
2021_CAC1,nd,nd,0.27,nd,0.31,0.45,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.16,0.03,0.19,nd,0.65,nd,nd,nd,nd,nd,0.05,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.1,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
2021_CON1,nd,1.21,1,0.76,0.86,0.95,0.18,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.33,0.04,0.27,nd,1.07,nd,nd,nd,nd,nd,0.03,nd,nd,0.14,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.15,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
2021_CON1_5,nd,1.75,0.88,1.06,0.94,0.9,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.34,0.03,0.35,nd,1.35,nd,nd,nd,nd,nd,0.07,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.13,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
2021_CON3,0.59,2.12,1.5,1.34,0.86,1.86,0.14,nd,nd,nd,nd,nd,nd,nd,0.06,nd,0.57,0.1,0.59,nd,2.88,nd,nd,nd,nd,nd,3.11,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.23,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
2021_CW19,nd,2.34,2.12,2.19,1.05,2.25,0.42,nd,nd,nd,nd,nd,nd,nd,0.04,nd,0.5,0.11,0.78,0.03,4.33,nd,nd,nd,nd,nd,0.23,nd,nd,0.07,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.75,nd,nd,nd,nd,nd,nd,nd,0.58,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.08,nd,nd,nd,nd,nd
2021_CW20,nd,1.48,0.92,1.31,0.8,1.72,0.29,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.41,0.09,0.65,0.03,2.24,nd,nd,nd,nd,nd,0.19,0.03,nd,0.07,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.4,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.02,nd,nd
2021_CW21,nd,2.9,1.78,2.17,1.26,2.2,0.27,0.04,nd,nd,nd,nd,nd,nd,0.09,nd,0.63,0.14,0.93,0.04,2.65,nd,nd,nd,nd,nd,0.21,0.03,nd,nd,nd,nd,0.11,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.46,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.05,nd,nd
2021_CW23,nd,0.48,0.35,0.27,0.51,0.33,0.19,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.13,nd,nd,nd,0.31,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.04,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
2021_LSF1,nd,3,1.01,1.65,1.09,2.24,0.38,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.58,0.11,0.85,0.04,2.64,nd,nd,nd,nd,nd,0.31,0.04,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.52,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.02,nd,nd
2021_LSF2,nd,1.66,1.32,1.62,1.03,2.35,0.33,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.56,0.11,0.75,0.04,3.19,nd,nd,nd,nd,nd,0.16,0.04,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.06,0.57,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
2021_LSF24,nd,1.69,1.55,1.17,0.89,1.22,0.18,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.63,0.04,0.26,nd,1.11,nd,nd,nd,nd,nd,0.05,nd,nd,0.07,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.1,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
2021_LSF25,nd,1.37,1.1,1.29,0.98,1.85,0.25,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.55,0.09,0.74,0.02,2.65,nd,nd,nd,nd,nd,0.23,nd,nd,0.11,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.45,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.02,nd,nd
2021_LSF26,nd,1.55,1.3,1.4,0.84,2.01,0.34,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.48,0.11,0.73,0.04,2.86,nd,nd,nd,nd,nd,0.21,0.04,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.49,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.02,nd,nd
2021_LSF3,nd,2.71,1.54,1.69,1,2.35,0.37,0.04,nd,nd,nd,nd,nd,nd,0.09,nd,0.7,0.14,0.89,0.04,2.43,nd,nd,nd,nd,nd,0.16,0.03,nd,0.05,nd,nd,0.08,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.42,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
2021_LSF3.5,nd,0.5,0.41,0.47,0.59,0.42,0.22,0.03,nd,nd,nd,nd,nd,nd,nd,nd,0.25,nd,0.11,nd,0.5,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
2021_LSL1,nd,0.65,0.14,0.48,0.79,0.45,0.17,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.27,nd,0.14,nd,0.66,nd,nd,nd,nd,nd,nd,nd,nd,0.07,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.03,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
2021_LSL13,nd,2.31,1.26,1.53,1.04,2.17,0.29,nd,nd,nd,nd,nd,nd,nd,0.06,nd,0.54,0.11,0.76,0.02,2.64,nd,nd,nd,nd,nd,0.18,nd,nd,0.06,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.56,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
2021_LSL14,nd,2.34,1.22,1.53,0.83,2.05,0.35,0.04,nd,nd,nd,nd,nd,nd,0.08,nd,0.5,0.09,0.69,nd,2.81,nd,nd,nd,nd,nd,0.19,0.03,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.47,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
2021_LSL15,0.79,2.57,1.39,1.42,1.08,1.75,0.22,nd,nd,nd,nd,nd,nd,nd,0.08,nd,0.53,0.1,0.59,nd,2.76,nd,nd,nd,nd,nd,2.89,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.37,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
2021_LSL16,nd,1.73,1.41,1.48,0.99,2.13,0.39,nd,nd,nd,nd,nd,nd,nd,0.05,nd,0.55,0.11,0.71,0.04,2.48,nd,nd,nd,nd,nd,0.16,0.04,nd,0.07,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,1.12,nd,nd,nd,nd,nd,nd,nd,0.56,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
2021_LSL17,1.03,2.22,1.53,nd,0.89,2.27,0.4,0.05,nd,nd,nd,nd,nd,nd,0.11,nd,0.6,0.12,0.74,0.02,3.35,nd,nd,nd,nd,nd,0.38,0.04,nd,0.07,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.48,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
2021_LSL18,nd,2.28,1.53,1.47,1.09,2.21,0.33,nd,nd,nd,nd,nd,nd,nd,0.07,nd,0.57,0.1,0.81,0.03,3.04,nd,nd,nd,nd,nd,0.23,0.04,nd,0.1,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.98,nd,nd,nd,nd,nd,nd,nd,0.53,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
2021_LSL2,1.11,1.96,1.38,1.53,0.92,1.91,0.22,nd,nd,nd,nd,nd,nd,nd,0.1,nd,0.58,0.12,0.77,nd,3.56,nd,nd,nd,nd,nd,3.57,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.4,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
2021_LSL3,nd,1.73,1.24,1.45,0.96,2.07,0.24,nd,nd,nd,nd,nd,nd,nd,0.06,nd,0.51,0.1,0.67,0.03,2.31,nd,nd,nd,nd,nd,0.16,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.45,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.02,nd,nd
2021_LSPA1,nd,1.36,1.14,1.05,0.75,1.1,0.21,0.03,nd,nd,nd,nd,nd,nd,nd,nd,0.33,0.05,0.43,nd,1.7,nd,nd,nd,nd,nd,0.1,nd,nd,0.11,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.23,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
2021_LSPA2,nd,1.66,1.3,1.26,0.71,1.26,0.16,0.03,nd,nd,nd,nd,nd,nd,0.04,nd,0.37,0.06,0.46,nd,1.71,nd,nd,nd,nd,nd,0.04,nd,nd,0.08,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.24,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
2021_LSPA3,nd,1.82,1.34,1.26,0.88,1.54,0.22,nd,nd,nd,nd,nd,nd,nd,0.05,nd,0.46,0.09,0.61,0.02,2.43,nd,nd,nd,nd,nd,0.06,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.32,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
2021_LSPA4,0.63,2.22,1.25,1.53,0.84,1.36,0.06,nd,nd,nd,nd,nd,nd,nd,0.1,nd,0.51,0.07,0.64,nd,1.92,nd,nd,nd,nd,nd,0.22,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.38,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
2021_LSPM1,nd,2.15,1.64,1.2,0.98,1.31,0.15,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.44,0.06,0.6,nd,2.51,nd,nd,nd,nd,nd,0.65,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.3,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
2021_LSPM2,nd,1.51,1.09,1.25,0.81,1.51,0.19,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.43,0.07,0.53,0.02,1.65,nd,nd,nd,nd,nd,0.14,nd,nd,0.11,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.34,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
2021_LSPM3,0.72,2.11,1.39,1.55,0.97,2.27,0.24,nd,nd,nd,nd,nd,nd,nd,0.07,nd,0.59,0.11,0.71,0.02,3.18,nd,nd,nd,nd,nd,0.86,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.47,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
2021_MASS1,nd,1.85,1.22,1.06,0.8,1.09,0.07,nd,nd,nd,nd,nd,nd,nd,0.05,nd,0.36,0.08,0.43,nd,1.71,nd,nd,nd,nd,nd,0.29,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.28,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
2021_ONT1,nd,2.8,1.87,2.18,1.24,2.58,0.37,nd,nd,nd,nd,nd,nd,nd,0.09,nd,0.74,0.18,0.96,0.04,2.62,nd,nd,nd,nd,nd,0.2,0.05,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.48,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
2021_ONT2,nd,2.64,1.77,1.78,1.25,2.08,0.27,nd,nd,nd,nd,nd,nd,nd,0.12,nd,0.63,0.14,0.9,0.04,3.12,nd,nd,nd,nd,nd,0.28,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.49,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.03,nd,nd
2021_ORL1,nd,0.39,0.55,0.66,0.44,0.83,0.09,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.24,0.04,0.41,nd,1.14,nd,nd,nd,nd,nd,0.07,nd,nd,0.06,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.21,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
2021_ORL2,nd,1.38,1.19,1.29,0.81,1.58,0.27,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.51,0.08,0.68,0.02,2.24,nd,nd,nd,nd,nd,0.15,nd,nd,0.1,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.39,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
2021_ORL3,nd,1.76,1.16,1.42,0.89,1.45,0.28,nd,nd,nd,nd,nd,nd,nd,0.05,nd,0.45,0.09,0.62,nd,1.93,nd,nd,nd,nd,nd,0.24,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.37,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.03,nd,nd
2021_QC1,nd,1.33,1.32,1.2,1.12,1.66,0.3,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.45,0.09,0.67,0.03,2.3,nd,nd,nd,nd,nd,0.13,nd,nd,0.1,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.37,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
2021_QC2,nd,2.24,1.1,1.52,1.04,1.77,0.28,nd,nd,nd,nd,nd,nd,nd,0.08,nd,0.51,0.09,0.72,nd,2.94,nd,nd,nd,nd,nd,2.35,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.36,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
2021_QC3,nd,1.11,1.14,1.53,0.9,1.44,0.2,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.44,0.07,0.62,0.02,1.87,nd,nd,nd,nd,nd,0.14,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.35,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
2021_REP1,0.74,1.33,0.77,1.09,0.75,0.69,0.12,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.33,nd,0.17,nd,0.9,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.03,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
2021_REP2,0.84,2.23,1.39,1.57,1.01,1.58,0.25,nd,nd,nd,nd,nd,nd,nd,0.06,nd,0.53,0.1,0.64,nd,2.79,nd,nd,nd,nd,nd,0.5,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.42,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.03,nd,nd
2021_REP3,nd,2.38,1.53,1.46,1.09,1.61,0.12,nd,nd,nd,nd,nd,nd,nd,0.08,nd,0.6,0.11,0.74,nd,2.52,nd,nd,nd,nd,nd,0.41,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.45,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
2021_SAD1,nd,nd,0.82,0.64,0.32,1,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.28,0.04,0.4,nd,1.2,nd,nd,nd,nd,nd,0.14,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.16,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
