Sample_ID,PFOA,PFNA,PFOS,PFBS,FBSA,PFHxA,PFHpA,PFHxPA,NADONA,FHxSA,Syn35,PFDA,PFDoA,Oak6,Oak10,Syn72,6_6PFPi,PFPrS,PFPeS,PFHxS,P4MOA,PFUdA,PFECHS,Syn45,9Cl-PF3ONS,Oak8,Syn32,11Cl-PF3OUDS,Syn53,4_2FTS,PFNS,SUM(PFAS)
OSC_1983_023,2.3,,,1.1,,3.6,2.1,,,,,,,,,,,,,,,,,,,,,,,,,9.2
HEN_1251_005,2.3,,,1.9,,4.8,2.9,,,,,,,,,,,,,,,,,,,,,,,,,11.8
HEN_2048_015,2.4,,,2.3,,6,3,,,,,,,,,,,,,,,,,,,,,,,,,13.8
HEN_2058_016,2.3,,,1.2,,4.7,2.5,,,,,,,,,,,,,,,,,,,,,,,,,10.8
HIG_2016_002,2.4,,4.6,1.8,,3.6,2.4,,,,,,,,,,,,,,,,,,,,,,,,,14.8
HIG_2021_007,4.6,,6,3.8,,5.4,3.2,,,,,,,,,,,,,4,,,,,,,,,,,,26.9
HIG_2022_008,2.8,,4.5,2.3,,4,2.3,,,,,,,,,,,,,,,,,,,,,,,,,15.9
HIG_2024_010,2.3,,4.2,2.1,,3.5,2.4,,,,,,,,,,,,,3.4,,,,,,,,,,,,17.9
DES_1991_002,4.4,,4.7,6.1,,6.2,3.5,,,,,,,,,,,,,,,,,,,,,,,,,25
DES_2001_005,4.7,4.5,6.8,3.6,,5.6,3.7,,,,,,,,,,,,,,,,,,,,,,,,,28.9
DES_2002_006,4.8,4,5.1,5,,5.5,3,,,,,,,,,,,,,,,,,,,,,,,,,27.5
JAC_1581_001,4,,4.1,2,,5,2.5,,,,,3.7,,,,,,,,,,,,,,,,,,,,21.2
SUW_1165_002,1.3,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4
WAL_1583_005,4.1,4.3,4.5,2.9,,6.2,3.2,,,,,3.8,,,,,,,,,,,,,,,,,,,,28.9
GLA_1228_029,3,,,2.8,,5.8,3.1,,,,,,,,,,,,,,,,,,,,,,,,,14.7
GLA_1229_030,1.6,,,1.5,,3.7,2.1,,,,,,,,,,,,,,,,,,,,,,,,,9
GLA_1231_032,2,,,1.5,,4.4,2.6,,,,,,,,,,,,,,,,,,,,,,,,,10.5
GLA_1233_034,2.2,,,1.6,,4.4,2.5,,,,,,,,,,,,,,,,,,,,,,,,,10.7
SUW_1429_006,1.6,,,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8
GLA_1245_043,2.4,,,1.7,,4.7,2.7,,,,,,,,,,,,,,,,,,,,,,,,,11.6
GLA_1259_051,2.4,,,1.8,,5.1,3.1,,,,,,,,,,,,,,,,,,,,,,,,,12.3
GLA_2050_054,2.4,,4.1,1.4,,4.9,2.4,,,,,,,,,,,,,,,,,,,,,,,,,15.1
GLA_2053_056,2.4,,,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6
GLA_2143_058,3,,,1,,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,7.6
GLA_2145_059,2,4.3,,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4
LAK_0351_002,4.6,4.4,,1.6,,5.2,3.1,,,,,,,,,,,,,,,,,,,,,,,,,18.8
LAK_0500_005,3.6,,,2,,5.7,2.9,,,,,,,,,,,,,,,,,,,,,,,,,14.2
LAK_0505_006,3.4,,,2.3,,5.4,2.7,,,,,,,,,,,,,,,,,,,,,,,,,13.8
LAK_0517_011,7,4.3,,8,,7.2,4.1,,,,,4.1,,,,,,,,,,,,,,,,,,,,34.6
LAK_0519_012,3.6,,,3.1,,5.6,3.4,,,,,,,,,,,,,,,,,,,,,,,,,15.7
LAK_0526_015,3.3,,4,2.2,,5.2,2.8,,,,,,,,,,,,,,,,,,,,,,,,,17.6
LAK_0529_017,2.6,,3.9,2.4,,3.8,2,,,,,,,,,,,,,,,,,,,,,,,,,14.7
LAK_1054_020,2.8,,,2.5,,4.2,2.7,,,,,,,,,,,,,,,,,,,,,,,,,12.2
LAK_1458_023,3.1,4.1,,1.5,,3.7,2.8,,,,,,,,,,,,,,,,,,,,,,,,,15.2
LAK_1462_027,3,,,2.1,,3.8,2.4,,,,,,,,,,,,,,,,,,,,,,,,,11.3
LAK_1465_030,2.9,4,,2.1,,3.5,2.2,,,,,,,,,,,,,,,,,,,,,,,,,14.7
LAK_1833_031,2.7,3.9,3.8,1.6,,3.5,2.7,,,,,,,,,,,,,,,,,,,,,,,,,18.1
MAO_0870_007,3.2,,5,2.4,,4.5,2.8,,,,,,,,,,,,,,,,,,,,,,,,,17.9
MAO_0871_008,2,,6.9,1.4,,3.9,2,11.3,,,,,,,,,,,,,,,,,,,,,,,,27.6
GIL_1686_004,,,,,,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,2.7
LAK_0515_009,2.2,,,,,3.3,1.9,,,,,,,,,,,,,,,,,,,,,,,,,7.4
MAO_0891_017,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5
HEN_1944_012,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3
HAM_1434_003,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2
HAM_1469_006,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5
MAD_1471_005,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2
GLA_1255_047,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3
SUW_1431_008,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3
SUW_1609_010,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2
GLA_1209_010,2.1,,,1.3,,3.8,,,,,,,,,,,,3.4,,,,,,,,,,,,,,10.7
GLA_1215_016,2.1,,,,,4,2.4,,,,,,,,,,,3.5,,,,,,,,,,,,,,12
GLA_1220_021,3.4,,,1.3,,5.6,2.7,,,,,,,,,,,3,,,,,,,,,,,,,,16.1
LAK_0516_010,2.5,3.9,,1.1,,4.8,2.4,,,,,,,,,,,7.4,,,,,,,,,,,,,,22.2
SUW_1164_001,,,,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9
MAO_0886_012,2.4,,,2,,5.5,2.7,,,,,,,,,,,,,,,,,,,,,,,,,12.6
MAO_0890_016,2.5,,5.2,1.7,,4.3,2.2,,,,,,,,,,,,,6,,,,,,,,,,,,21.9
MAO_1048_027,3.2,4.1,,2,,4.7,3.2,,,,,,,,,,,,,,,,,,,,,,,,,17.3
OSC_0296_002,8.3,5,6.4,4.7,,13.1,5.8,,,,,4.8,,,,,,,,,,,,,,,,,,,,48.2
OSC_0297_003,7.9,4.5,6.7,4.4,,8.8,4.8,,,,,4,,,,,,,,,,,,,,,,,,,,41.1
OSC_0831_006,1.3,,,0.6,,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,5.2
OSC_0834_009,8.4,5.2,7.2,2.9,0.5,13.9,7.1,16.3,,,,4,,,,,,,,16.6,,1.7,,,,,,,,,,83.8
OSC_0835_010,8.4,5.6,8.3,3.1,,13.8,8.2,16.2,,,,4.2,,,,,,,,15.9,,2,,,,,,,,,,85.8
OSC_0836_011,4.9,4.2,6.8,5.7,0.7,8.1,3.5,,,,,4,,,,,,,,5.2,,,,,,,,,,,,43.2
OSC_0839_014,4.2,4.4,8.8,3.3,,9.5,3.6,10.1,,,,,,,,,,,,7.7,,,,,,,,,,,,51.6
OSC_0856_016,8.1,5.4,6.8,3.7,,12.9,8,13.2,,,,4.1,,,,,,,,17,,1.9,,,,,,,,,,81.1
OSC_0858_018,4.7,4.5,5.6,5.6,,7.3,3.8,9,,,,,,,,,,,,6.2,,,,,,,,,,,,46.7
OSC_0859_019,5.5,4.7,5.3,2.7,,8.9,4.9,9.2,,,,,,,,,,,,6.7,,,,,,,,,,,,47.8
OSC_1076_021,1.7,,,3.2,,,,,,,,,,,,,,,,,,,,,,,7,,,,,11.9
OSC_1985_024,2.1,,,10.1,,5.8,2.8,,,,,,,,,,,,,,,,,,,,,,,,,20.8
HEN_1242_003,2.7,,,2,,4.6,3,,,,,,,,,,,,,,,,,,,,,,,,,12.4
HEN_1254_008,2.2,,,1.1,,4.8,2.9,,,,,,,,,,,,,,,,,,,,,,,,,11
HEN_1894_010,5.9,4.3,,5.7,,5.8,3.7,,,,,,,,,,,,,,,,,,,,,,,,,25.4
HEN_2059_017,2.1,,,1.7,,5,2.4,,,,,,,,,,,,,,,,,,,,,,,,,11.2
HIG_2017_003,2.6,,4.4,1.4,,3.8,2.3,,,,,,,,,,,,,,,,,,,,,,,,,14.5
HIG_2018_004,6.1,4.3,5.9,5,,7,4.8,,,,,,,,,,,,,4.5,,,,,,,,,,,,37.7
HIG_2019_005,2,,,2,,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,7.7
HIG_2023_009,2.8,,4.7,2.4,,4,2.6,,,,,,,,,,,,,,,,,,,,,,,,,16.5
GIL_1681_003,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1
DES_0009_001,4.1,,4.7,5,,4.5,3.1,,,,,,,,,,,,,,,,,,,,,,,,,21.4
DES_1992_003,4.1,,5.3,3.2,,5.7,3.4,,,,,,,,,,,,,,,,,,,,,,,,,21.7
GLA_1222_023,3.5,,4.4,1.9,,5.8,3.2,,,,,,,,,,,,,,,,,,,,,,,,,18.9
HAM_1418_001,1.6,,4,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,9.6
MAD_1470_004,1.9,,,0.5,,4.3,2.3,,,,,,,,,,,,,,,,,,,,,,,,,9
GLA_1227_028,3.7,,,1.9,,6.2,3.4,,,,,,,,,,,,,,,,,,,,,,,,,15.2
WAL_1584_006,1.3,,,0.3,,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,4.4
GLA_1230_031,2.2,,,2.4,,4.8,2.7,,,,,,,,,,,,,,,,,,,,,,,,,12.1
GLA_1236_037,2.5,,,1.9,,5,2.8,,,,,,,,,,,,,,,,,,,,,,,,,12.2
GLA_1238_039,2,,,2,,4.6,2.4,,,,,,,,,,,,,,,,,,,,,,,,,11
GLA_1243_041,1.7,,,0.4,,,2,,,,,,,,,,,,,,,,,,,,,,,,,4.1
GLA_1244_042,2.7,,,1.9,,5.3,3.2,,,,,,,,,,,,,,,,,,,,,,,,,13.1
GLA_1247_045,2.2,,,2.5,,4.6,2.5,,,,,,,,,,,,,,,,,,,,,,,,,11.8
SUW_1430_007,1.3,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3
GLA_1248_046,2.1,,,1.2,,4.9,2.8,,,,,,,,,,,,,,,,,,,,,,,,,11
GLA_1257_049,2.8,,,2.8,,6.3,3.2,,,,,,,,,,,,,,,,,,,,,,,,,15
