Sample_ID,Florida_County_Name,Latitude,Longitude
BAY-2572-045,Bay_County,30.01,85.53
LAK-2595-048,Lake_County,29.17,81.63
FLG-2575-028,Flagler_County,29.42,81.44
BAY-2520-039,Bay_County,30.25,85.94
LEO-2558-023,Levy_County,30.29,84.15
HIG-2589-027,Highlands_County,27.30,81.37
BAY-2521-040,Bay_County,30.28,85.99
POL-2543-048,Polk_County,27.76,81.80
STJ-2617-074,St._Johns_County,29.72,81.48
PIN-2605-144,Pinellas_County,27.78,82.66
BRO-2315-065,Broward_County,26.09,80.18
BRE-2625-100,Brevard_County,28.71,80.72
JAC-2397-011,Jackson_County,30.90,84.96
POL-2545-050,Polk_County,27.79,81.68
STJ-2616-073,St._Johns_County,29.82,81.55
MAO-2597-037,Marion_County,29.25,81.64
HIG-2523-023,Highlands_County,27.65,81.48
BAY-2570-043,Bay_County,30.11,85.56
POL-2544-049,Polk_County,27.75,81.78
GUL-2622-031,Gulf_County,30.02,85.15
LAF-2413-005,Lafayette_County,30.13,83.13
PIN-2604-143,Pinellas_County,27.74,82.64
ALC-2522-100,Alachua_County,29.64,82.35
HIG-2513-017,Highlands_County,27.35,81.39
MAO-2505-036,Marion_County,29.35,81.73
PIN-2495-136,Pinellas_County,28.01,82.66
HIG-2516-020,Highlands_County,27.60,81.50
GUL-2587-029,Gulf_County,29.74,85.19
WAK-2565-026,Wakulla_County,30.23,84.30
BAY-2519-038,Bay_County,30.27,85.98
PUT-2506-016,Putnam_County,29.69,81.63
POL-2606-058,Polk_County,27.69,81.44
HIL-2440-092,Hillsborough_County,28.01,82.34
CAH-2382-004,Calhoun_County,30.51,85.16
LAK-2504-047,Lake_County,29.17,81.52
WAK-2408-022,Wakulla_County,30.03,84.39
FLG-2487-025,Flagler_County,29.48,81.14
PIN-2493-134,Pinellas_County,27.96,82.70
POL-2526-031,Polk_County,28.09,81.74
LEO-2559-024,Leon_County,30.41,84.61
POL-2551-056,Polk_County,27.72,81.42
FLG-2488-026,Flagler_County,29.48,81.13
HIL-2442-094,Hillsborough_County,27.99,82.47
OSC-2600-032,Osceola_County,28.08,81.30
HIG-2515-019,Highlands_County,27.59,81.50
HIL-2443-095,Hillsborough_County,28.05,82.27
WAK-2406-020,Wakulla_County,30.24,84.27
LEO-2401-020,Leon_County,30.58,84.29
PIN-2496-137,Pinellas_County,28.04,82.69
GUL-2393-017,Gulf_County,29.68,85.22
PUT-2511-021,Putnam_County,29.43,81.51
JAC-2396-010,Jackson_County,30.66,84.97
MTE-2329-049,Manatee_County,27.48,82.30
PAS-2621-034,Pasco_County,28.31,82.06
HIG-2524-024,Highlands_County,27.64,81.36
OSC-2525-030,Osceola_County,28.03,81.45
BRE-2484-095,Brevard_County,27.83,80.56
SUW-2563-012,Suwannee_County,30.24,83.25
HIG-2514-018,Highlands_County,27.57,81.50
FLG-2489-027,Flagler_County,29.44,81.11
POL-2537-042,Polk_County,28.00,81.67
HIG-2320-014,Highlands_County,27.25,81.38
PIN-2499-140,Pinellas_County,27.89,82.85
VOL-2339-052,Volusia_County,29.17,81.30
HIG-2321-015,Highlands_County,27.52,81.49
WAK-2481-024,Wakulla_County,30.23,84.30
JAC-2325-007,Jackson_County,30.60,85.39
LEV-2416-016,Levy_County,29.21,82.76
SAN-2459-044,Santa_Rosa_County,30.58,87.00
VOL-2470-053,Volusia_County,29.04,80.89
TAY-2419-009,Taylor_County,30.06,83.59
ORA-2330-077,Orange_County,28.38,81.20
TAY-2417-007,Taylor_County,29.92,83.67
SAN-2460-045,Santa_Rosa_County,30.63,87.02
POL-2333-028,Polk_County,27.90,81.72
WAS-2342-008,Washington_County,30.55,85.57
VOL-2472-055,Volusia_County,28.89,81.36
WAL-2340-021,Walton_County,30.40,86.04
VOL-2473-056,Volusia_County,28.87,81.17
DIX-2409-018,Dixie_County,29.44,83.29
SEM-2463-026,Seminole_County,28.68,81.11
SEM-2464-027,Seminole_County,28.63,81.12
VOL-2476-059,Volusia_County,28.81,81.13
BRE-2432-086,Brevard_County,28.61,80.96
HIL-2448-100,Hillsborough_County,27.96,82.55
ORA-2459-080,Orange_County,28.60,81.51
HIL-2446-098,Hillsborough_County,28.13,82.26
HIL-2445-097,Hillsborough_County,28.15,82.23
POL-2546-051,Polk_County,27.81,81.56
ALC-2623-101,Alachua_County,29.68,82.24
TAY-2420-010,Taylor_County,30.10,83.47
JEF-2556-007,Jefferson_County,30.31,83.82
JEF-2557-008,Jefferson_County,30.59,83.72
STJ-2615-072,St._Johns_County,29.79,81.53
SUW-2563-012,Suwannee_County,30.24,83.25
POL-2532-037,Polk_County,28.00,81.75
TAY-2432-012,Taylor_County,30.29,83.68
ORA-2599-082,Orange_County,28.49,81.10
BAY-2568-041,Bay_County,30.04,85.49
UNI-2618-009,Union_County,30.12,82.40
HIL-2590-102,Hillsborough_County,27.93,82.43
VOL-2478-061,Volusia_County,28.99,80.87
DAD-2354-114,Miami-Dade_County,25.46,80.34
DUV-2262-061,Duval_County,30.44,81.76
LIB-2404-002,Liberty_County,30.31,85.04
HIL-2365-077,Hillsborough_County,28.02,82.45
HIL-2376-088,Hillsborough_County,27.92,82.17
GUL-2389-013,Gulf_County,30.09,85.18
LEO-2463-022,Leon_County,30.43,84.36
DUV-2269-068,Duval_County,30.46,81.83
BRE-2437-091,Brevard_County,28.68,80.83
DUV-2259-058,Duval_County,30.40,81.66
GUL-2582-024,Gulf_County,29.69,85.30
GUL-2578-020,Gulf_County,29.69,85.28
DAD-2355-115,Miami-Dade_County,25.79,80.15
DUV-2257-056,Duval_County,30.39,81.51
