Article (Author et al YYYY),Sample Name,Sample Type,38.86531,-108.39814,Sampling Year,Sample Date (MM/DD/YYY),Sample Time,Analysis Method,Streamflow (m3/s),Sampling Depth (m),Units,PFOS,PFOA,FBSA,PFDA,PFNA,PFHxS,PFHxA,PFHpA,PFHpS,GenX,4:2 FTS,6:2 FTS,8:2 FTS,10:2 FTS,3:3 FTCA,5:3 FTCA,7:3 FTCA,PFPA,PFPeA,PFPeS,PFBS,PFBA,PFMOPrA,PFMOBA,PFMOAA,PFO2HxA,PFO3OA,PFO4DA,PFESA BP 1,PFESA BP 2,PFDoS,PFUnDA,FOSAA,N-MeFOSE,NMeFOSAA,NMeFOSA,N-EtFOSE,NEtFOSAA,N-EtFOSA,PFDS,PFTeDA,PFHxDA,PFNS,PFTrDA,PFDoA,PFOSA,9-Cl-PF3ONS,11-Cl-PF3OUdS,PFECA-G,ADONA,PFEESA,NFDHA,PFODA
DMR Permits et al 2024,FORMER WELLS FARGO BANK BUILDING,Ground Water,39.678553,-105.053719,2023,02/28/2023,,,,,ng/L,9.5,21,,0,0.76,79,34,20,0,0,0,0,0,,,0,0,,39,16,35,24,0,0,,,,,,,0,0,,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,
DMR Permits et al 2024,FORMER WELLS FARGO BANK BUILDING,Ground Water,39.678553,-105.053719,2023,03/31/2023,,,,,ng/L,9.5,21,,0,0.76,79,34,20,0,0,0,0,0,,,0,0,,39,16,35,24,0,0,,,,,,,0,0,,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,
DMR Permits et al 2024,FORMER WELLS FARGO BANK BUILDING,Ground Water,39.678553,-105.053719,2023,05/31/2023,,,,,ng/L,7.6,31,,0,0.54,66,28,20,0,0,0,0,0,,,0,0,,38,0,26,21,0,0,,,,,,,0,0,,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,
DMR Permits et al 2024,FORMER WELLS FARGO BANK BUILDING,Ground Water,39.678553,-105.053719,2023,07/31/2023,,,,,ng/L,18,29,,1.2,1.5,43,27,13,0,0,0,0,0,,,0,0,,27,8.8,23,25,0,0,,,,,,,0,0,,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,
DMR Permits et al 2024,FORMER WELLS FARGO BANK BUILDING,Ground Water,39.678553,-105.053719,2023,10/31/2023,,,,,ng/L,19,33,,0.76,1.5,35,31,18,0.6,0,0,0,0,,,0,0,,35,5.7,21,28,0,0,,,,,,,0,0,,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,
DMR Permits et al 2024,FORMER WELLS FARGO BANK BUILDING,Ground Water,39.678553,-105.053719,2023,11/30/2023,,,,,ng/L,8.3,31,,0,0.66,65,40,19,0,0,0,0,0,,,0,0,,39,13,29,24,0,0,,,,,,,0,0,,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,
DMR Permits et al 2024,FORMER WELLS FARGO BANK BUILDING,Ground Water,39.678553,-105.053719,2023,12/31/2023,,,,,ng/L,8.3,31,,0,0.66,65,40,19,0,0,0,0,0,,,0,0,,39,13,29,24,0,0,,,,,,,0,0,,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,
DMR Permits et al 2024,FORMER WELLS FARGO BANK BUILDING,Ground Water,39.678553,-105.053719,2024,01/31/2024,,,,,ng/L,8,27,,0,0,54,26,17,0,0,0,0,0,,,0,0,,31,10,25,24,0,0,,,,,,,0,0,,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,
DMR Permits et al 2024,FORMER WELLS FARGO BANK BUILDING,Ground Water,39.804722,-104.995556,2024,05/31/2024,,,,,ng/L,15,24,,0,0.89,48,23,15,0,0,0,0,0,,,0,0,,28,10,23,23,0,0,,,,,,,0,0,,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,
DMR Permits et al 2024,BRODERICK PACKAGE WTP,Ground Water,39.75,-104.999,2023,05/31/2023,,,,,ng/L,0,0,,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,0,0,0,,,,,,,0,0,,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,
DMR Permits et al 2024,SUGAR CUBE BUILDING,Ground Water,39.75,-104.999,2022,02/28/2022,,,,,ng/L,0.0050115,0.0073885,,0,0,0.0041335,0.0120235,0.00434,0,0,0,0,0,,,0,0,,0.0131235,0.00093,0.00992,0.012542,0,0,,,,,,,0,0,,0,,0,0,0,0,0,0,,0.0050115,0,0,0,0,0,,0,0,0,
DMR Permits et al 2024,SUGAR CUBE BUILDING,Ground Water,39.75,-104.999,2022,08/31/2022,,,,,ng/L,0.0077,0.01214,,0,0.00129,0.004545,0.015345,0.0077,0,0,0,0,0,,,0,0,,0.01958,0,0.00961,0.01049,0,0,,,,,,,0,0,,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,
DMR Permits et al 2024,SUGAR CUBE BUILDING,Ground Water,39.75,-104.999,2022,09/30/2022,,,,,ng/L,0.00925,0.013125,,0,0.001135,0.005735,0.0171,0.00806,0,0,0,0,0,,,0,0,,0.022735,0.001035,0.01121,0.01297,0,0,,,,,,,0,0,,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,
DMR Permits et al 2024,SUGAR CUBE BUILDING,Ground Water,39.75,-104.999,2022,10/31/2022,,,,,ng/L,0.00072,0.012915,,0.001395,0.00124,0.000515,0.017565,0.007235,0,0,0,0,0,,,0,0,,0.02015,0.00098,0.00129,0.011885,0,0,,,,,,,0,0.00465,,0,,0,0,0,0,0,0,,0,0.00098,0.00098,0,0,0,,0,0,0,
DMR Permits et al 2024,SUGAR CUBE BUILDING,Ground Water,39.75,-104.999,2022,08/31/2022,,,,,ng/L,0,0,,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,0,0,0,,,,,,,0,0,,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,
DMR Permits et al 2024,SUGAR CUBE BUILDING,Ground Water,39.75,-104.999,2022,11/30/2022,,,,,ng/L,0.007025,0.010385,,0,0.000775,0.005065,0.01519,0.00656,0,0,0,0,0,,,0,0,,0.018755,0.0011365,0.011575,0.013485,0,0,,,,,,,0,0,,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,
DMR Permits et al 2024,SUGAR CUBE BUILDING,Ground Water,39.75,-104.999,2022,12/31/2022,,,,,ng/L,0.5905,0.5905,,0.03275,0.05575,0.2984,0.8855,0.36075,0,0,0,0,0,,,0,0,,1.0165,0.05265,0.5905,0.5905,0,0,,,,,,,0,0,,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,
DMR Permits et al 2024,SUGAR CUBE BUILDING,Ground Water,39.75,-104.999,2023,01/31/2023,,,,,ng/L,0.39355,0.5905,,0.05575,0.06885,0.2855,1.0495,0.4263,0,0,0,0,0,,,0,0,,1.1615,0.3935,0.5905,0.656,0,0,,,,,,,0,0,,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,
DMR Permits et al 2024,SUGAR CUBE BUILDING,Ground Water,39.75,-104.999,2023,02/28/2023,,,,,ng/L,1.0355,0.898,,0,0,1.2085,0,0,0,0,0.44875,0,0,,,0,0,,0,0,0.9665,0,0,0,,,,,,,0,0,,0,,0,0,0,0,0.656,0,,0,0,0,0,0,0,,0,0,0,
DMR Permits et al 2024,SUGAR CUBE BUILDING,Ground Water,39.75,-104.999,2023,03/31/2023,,,,,ng/L,20,28,,1.6,3.2,14,49,21,0,0,0,0.24,0,,,0,0,,50,1.6,33,40,0,0,,,,,,,0,0,,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,
DMR Permits et al 2024,SUGAR CUBE BUILDING,Ground Water,39.75,-104.999,2023,04/30/2023,,,,,ng/L,12,25,,0.81,2.3,10,35,15,0,0,0,0,0,,,0,0,,42,1.3,24,26,0,0,,,,,,,0,0,,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,
DMR Permits et al 2024,SUGAR CUBE BUILDING,Ground Water,39.75,-104.999,2023,10/31/2023,,,,,ng/L,16,24,,1,2.1,8.7,34,13,0,0,3.75,0,0,,,0,0,,43,1.3,23,24,0,0,,,,,,,0,0,,0,,0,0,0,0,0,0,,0,0.95,0,0,0,0,,0,0,0,
DMR Permits et al 2024,SUGAR CUBE BUILDING,Ground Water,39.75,-104.999,2023,11/30/2023,,,,,ng/L,14,21,,0,2.2,8.3,36,14,0,0,0,0,0,,,0,0,,41,0,20,25,0,0,,,,,,,0,0,,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,
DMR Permits et al 2024,SUGAR CUBE BUILDING,Ground Water,39.75,-104.999,2023,12/31/2023,,,,,ng/L,14,17,,1.9,2.7,8.8,26,9.3,0,0,0,0,0,,,0,0,,32,1.5,19,20,0,0,,,,,,,0,0,,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,
DMR Permits et al 2024,SUGAR CUBE BUILDING,Ground Water,39.75,-104.999,2024,01/31/2024,,,,,ng/L,13,19,,1.3,2.2,8.8,34,13,0,0,0,0,0,,,0,0,,40,1.5,22,22,0,0,,,,,,,0,0,,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,
DMR Permits et al 2024,SUGAR CUBE BUILDING,Ground Water,39.75,-104.999,2024,02/29/2024,,,,,ng/L,17,26,,0.81,2.6,12,48,19,0,0,0,0,0,,,0,0,,53,1.6,23,26,0,0,,,,,,,0,0,,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,
DMR Permits et al 2024,SUGAR CUBE BUILDING,Ground Water,39.75,-104.999,2024,03/31/2024,,,,,ng/L,0,19,,0.93,2.2,9.8,31,12,0,0,0,0,0,,,0,0,,34,1.4,28,20,0,0,,,,,,,0,0,,0,,0,0,0,0,0,0,,0,0,0,14,0,0,,0,0,0,
DMR Permits et al 2024,SUGAR CUBE BUILDING,Ground Water,39.75,-104.999,2024,04/30/2024,,,,,ng/L,0,21,,0.81,2.4,7.7,40,15,0,0,0,0,0,,,0,0,,48,1.2,22,25,0,0,,,,,,,0,0,,0,,0,0,0,0,0,0,,0,0,0,15,0,0,,0,0,0,
DMR Permits et al 2024,SUGAR CUBE BUILDING,Ground Water,39.75,-104.999,2024,05/31/2024,,,,,ng/L,20,26,,1.4,3.3,11,54,22,0,0,0,0,0,,,0,0,,65,1.7,33,33,0,0,,,,,,,0,0,,0,,0,0,0,0,0,0,,0.18,0,0,0.18,0,0,,0,0,0,
DMR Permits et al 2024,SUGAR CUBE BUILDING,Ground Water,39.75,-104.999,2022,07/31/2022,,,,,ng/L,0,0,,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,0,0,0,,,,,,,0,0,,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,
DMR Permits et al 2024,SUGAR CUBE BUILDING,Ground Water,37.35702,-108.57442,2023,02/28/2023,,,,,ng/L,0,0,,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,0,0,0,,,,,,,0,0,,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,
DMR Permits et al 2024,OSPREY BASE CAMP,Ground Water,37.35702,-108.57442,2022,05/31/2022,,,,,ng/L,0,7.6,,0,0,10,9.1,3.9,0,0,0,0,0,,,0,0,,7.9,0,4.2,11,0,0,,,,,,,0,0,,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,
DMR Permits et al 2024,OSPREY BASE CAMP,Ground Water,37.35702,-108.57442,2022,04/30/2022,,,,,ng/L,0,7.4,,0,0,10,7.6,3.2,0,0,0,0,0,,,0,0,,7,0,3.3,10,0,0,,,,,,,0,0,,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,
DMR Permits et al 2024,OSPREY BASE CAMP,Ground Water,37.35702,-108.57442,2022,06/30/2022,,,,,ng/L,0,9.8,,0,0,13.5,12.5,4.35,0,0,0,0,0,,,0,0,,12,0,4.7,12,0,0,,,,,,,0,0,,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,
DMR Permits et al 2024,OSPREY BASE CAMP,Ground Water,37.35702,-108.57442,2022,07/31/2022,,,,,ng/L,0,9.65,,0,0,12,14.5,4.65,0,0,0,0,0,,,0,0,,13.5,0,4.55,12.5,0,0,,,,,,,0,0,,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,
DMR Permits et al 2024,OSPREY BASE CAMP,Ground Water,37.35702,-108.57442,2022,08/31/2022,,,,,ng/L,0,10.95,,0,0,13,13,4.7,0,0,0,1.975,0,,,0,0,,13,0,5.3,13,0,0,,,,,,,0,0,,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,
DMR Permits et al 2024,OSPREY BASE CAMP,Ground Water,37.35702,-108.57442,2022,09/30/2022,,,,,ng/L,0,10.35,,0,0,12.5,13.5,4.6,0,0,0,0,0,,,0,0,,12,0,4.15,12,0,0,,,,,,,0,0,,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,
DMR Permits et al 2024,OSPREY BASE CAMP,Ground Water,37.35702,-108.57442,2022,10/31/2022,,,,,ng/L,0,9.3,,0,0,11.5,9.6,4.7,0,2.3,0,0,0,,,0,0,,13,0,4.2,12,0,0,,,,,,,0,0,,0,,0,0,0,0,0,0.95,,0,0.95,0,0,0,0,,0,0,0,
DMR Permits et al 2024,OSPREY BASE CAMP,Ground Water,37.35702,-108.57442,2022,11/30/2022,,,,,ng/L,0,8.9,,0,0,13,11,4.1,0,0,0,0,0,,,0,0,,11,0,5,13,0,0,,,,,,,0,0,,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,
DMR Permits et al 2024,OSPREY BASE CAMP,Ground Water,37.35702,-108.57442,2022,12/31/2022,,,,,ng/L,0,8.8,,0,0,13,13,4.3,0,0,0,0,0,,,0,0,,11,0,4.1,13,0,0,,,,,,,0,0,,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,
DMR Permits et al 2024,OSPREY BASE CAMP,Ground Water,37.35702,-108.57442,2023,01/31/2023,,,,,ng/L,0,7.2,,0,0,13,13,4.1,0,0,0,0,0,,,0,0,,11,0,3.9,12,0,0,,,,,,,0,0,,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,
DMR Permits et al 2024,OSPREY BASE CAMP,Ground Water,37.35702,-108.57442,2023,02/28/2023,,,,,ng/L,0,8.5,,0,0,12,11,4.2,0,0,0,0,0,,,0,0,,9.1,0,4.7,11,0,0,,,,,,,0,0,,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,
DMR Permits et al 2024,OSPREY BASE CAMP,Ground Water,37.35702,-108.57442,2023,03/31/2023,,,,,ng/L,0,7.7,,0,0,13,7.9,3,0,0,0,0,0,,,0,0,,8,0,5,10,0,0,,,,,,,0,0,,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,
DMR Permits et al 2024,OSPREY BASE CAMP,Ground Water,37.35702,-108.57442,2023,04/30/2023,,,,,ng/L,0,7.8,,0,0,13,9.2,3.4,0,0,0,0,0,,,0,0,,8.2,0,5.9,11,0,0,,,,,,,0,0,,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,
DMR Permits et al 2024,OSPREY BASE CAMP,Ground Water,37.35702,-108.57442,2023,05/31/2023,,,,,ng/L,0,7.8,,0,0,11,7.9,3.8,0,0,0,0,0,,,0,0,,6.3,0,4.7,11,0,0,,,,,,,0,0,,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,
DMR Permits et al 2024,OSPREY BASE CAMP,Ground Water,37.35702,-108.57442,2023,06/30/2023,,,,,ng/L,0,9,,0,0,14,9.7,4,0,0,0,0,0,,,0,0,,7.5,0,5.9,11,0,0,,,,,,,0,0,,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,
DMR Permits et al 2024,OSPREY BASE CAMP,Ground Water,37.35702,-108.57442,2023,07/31/2023,,,,,ng/L,0,8.8,,0,0,13,9.2,3.9,0,0,0,0,0,,,0,0,,7.6,0,5.7,10,0,0,,,,,,,0,0,,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,
DMR Permits et al 2024,OSPREY BASE CAMP,Ground Water,37.35702,-108.57442,2023,08/31/2023,,,,,ng/L,0,9.2,,0,0,12,9.4,3.4,0,0,0,0,0,,,0,0,,7.7,0,5.8,9.8,0,0,,,,,,,0,0,,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,
DMR Permits et al 2024,OSPREY BASE CAMP,Ground Water,37.35702,-108.57442,2023,09/30/2023,,,,,ng/L,0,8.1,,0,0,13,9.7,4,0,0,0,0,0,,,0,0,,9.1,0,5.6,9.5,0,0,,,,,,,0,0,,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,
DMR Permits et al 2024,OSPREY BASE CAMP,Ground Water,39.798973,-105.077816,2023,10/31/2023,,,,,ng/L,0,9.8,,0,0,12,13,4.2,0,0,0,0,0,,,0,0,,9.1,0,4.7,9.6,0,0,,,,,,,0,0,,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,
DMR Permits et al 2024,RESIDENCES AT OLDE TOWN STATION,Ground Water,39.798973,-105.077816,2023,04/30/2023,,,,,ng/L,0,0,,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,0,0,0,,,,,,,0,0,,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,
DMR Permits et al 2024,RESIDENCES AT OLDE TOWN STATION,Ground Water,39.798973,-105.077816,2023,06/30/2023,,,,,ng/L,0,0,,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,0,0,0,,,,,,,0,0,,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,
DMR Permits et al 2024,RESIDENCES AT OLDE TOWN STATION,Ground Water,39.798973,-105.077816,2023,07/31/2023,,,,,ng/L,0,0,,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,0,0,0,,,,,,,0,0,,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,
DMR Permits et al 2024,RESIDENCES AT OLDE TOWN STATION,Ground Water,39.798973,-105.077816,2023,08/31/2023,,,,,ng/L,0,0,,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,0,0,0,,,,,,,0,0,,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,
DMR Permits et al 2024,RESIDENCES AT OLDE TOWN STATION,Ground Water,39.798973,-105.077816,2023,09/30/2023,,,,,ng/L,0,0,,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,0,0,0,,,,,,,0,0,,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,
DMR Permits et al 2024,RESIDENCES AT OLDE TOWN STATION,Ground Water,39.798973,-105.077816,2023,10/31/2023,,,,,ng/L,0,0,,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,0,0,0,,,,,,,0,0,,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,
DMR Permits et al 2024,RESIDENCES AT OLDE TOWN STATION,Ground Water,39.798973,-105.077816,2023,11/30/2023,,,,,ng/L,0,0,,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,0,0,0,,,,,,,0,0,,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,
DMR Permits et al 2024,RESIDENCES AT OLDE TOWN STATION,Ground Water,39.798973,-105.077816,2023,12/31/2023,,,,,ng/L,0,0,,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,0,0,0,,,,,,,0,0,,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,
DMR Permits et al 2024,RESIDENCES AT OLDE TOWN STATION,Ground Water,39.798973,-105.077816,2024,01/31/2024,,,,,ng/L,0,0,,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,0,0,0,,,,,,,0,0,,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,
DMR Permits et al 2024,RESIDENCES AT OLDE TOWN STATION,Ground Water,39.798973,-105.077816,2024,02/29/2024,,,,,ng/L,0,2.51,,1.8,2.92,0,1.5,1.51,0,0,0,0,0,,,0,0,,0,0,0,0,0,0,,,,,,,0,1.26,,0,,0,0,0,0,0,0,,0,1.19,1.63,0,0,0,,0,0,0,
DMR Permits et al 2024,RESIDENCES AT OLDE TOWN STATION,Ground Water,39.798973,-105.077816,2024,03/31/2024,,,,,ng/L,0,0,,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,0,0,0,,,,,,,0,0,,0,,0,0,0,0,0,0,,0,1.47,0,0,0,0,,0,0,0,
DMR Permits et al 2024,RESIDENCES AT OLDE TOWN STATION,Ground Water,39.798973,-105.077816,2024,04/30/2024,,,,,ng/L,0,0,,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,0,0,0,,,,,,,0,0,,0,,0,0,0,0,0,0,,0,0.72,1.36,0,0,0,,0,0,0,
DMR Permits et al 2024,RESIDENCES AT OLDE TOWN STATION,Ground Water,40.007,-105.257,2024,05/31/2024,,,,,ng/L,0,0,,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,0,0,0,,,,,,,0,0,,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,
DMR Permits et al 2024,LANDMARK LOFTS,Ground Water,39.751269,-104.992174,2024,04/30/2024,,,,,ng/L,0,0,,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,0,0,0,,,,,,,0,0,,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,
DMR Permits et al 2024,1900 LAWRENCE,Ground Water,39.751269,-104.992174,2024,02/29/2024,,,,,ng/L,0,1.78,,1.32,4.3,0,0,1.15,0,0,0,0,0,,,0,0,,0,0,0,0,0,0,,,,,,,0,1.67,,0,,0,0,0,0,0,0,,0,3.24,1.61,0,0,0,,0,0,0,
DMR Permits et al 2024,1900 LAWRENCE,Ground Water,39.751269,-104.992174,2024,03/31/2024,,,,,ng/L,0,0,,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,0,0,0,,,,,,,0,0,,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,
DMR Permits et al 2024,1900 LAWRENCE,Ground Water,39.751269,-104.992174,2024,04/30/2024,,,,,ng/L,0,0,,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,0,0,0,,,,,,,0,0,,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,
DMR Permits et al 2024,1900 LAWRENCE,Ground Water,38.80647,-106.88537,2024,05/31/2024,,,,,ng/L,0,0,,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,0,0,0,,,,,,,0,0,,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,
DMR Permits et al 2024,CRESTED BUTTE SOUTH METROPOLITAN DISTRICT WWTF,Ground Water,38.871111,-107.923889,2023,12/31/2023,,,,,ng/L,0,0,,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,0,0,0,,,,,,,0,0,,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,
DMR Permits et al 2024,CEDAREDGE WWTF,Ground Water,39.28,-106.33,2023,12/31/2023,,,,,ng/L,3.1,6.1,,0.93,0,0.59,27,1,0,0,0,0,0,,,0,0,,6.4,0,2.6,2.6,0,0,,,,,,,0,0,,0,,0,0,0,0,0,0,,0,0,0,0.59,0,0,,0,0,0,
DMR Permits et al 2024,MOUNTAIN VIEW VILLAGES WWTF,Ground Water,38.79271,-104.80548,2023,12/31/2023,,,,,ng/L,0,0,,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,0,0,0,,,,,,,0,0,,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,
DMR Permits et al 2024,CHARTWELL TENDERFOOT HILL RD HOTEL,Ground Water,38.79271,-104.80548,2019,09/30/2019,,,,,mg/L,0,0.014,,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,0,0,0,,,,,,,0,0,,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,
DMR Permits et al 2024,CHARTWELL TENDERFOOT HILL RD HOTEL,Ground Water,38.79271,-104.80548,2019,12/31/2019,,,,,ng/L,0,0.0182,,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,0,0,0,,,,,,,0,0,,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,
DMR Permits et al 2024,CHARTWELL TENDERFOOT HILL RD HOTEL,Ground Water,38.79271,-104.80548,2020,03/31/2020,,,,,ng/L,0,0.0133,,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,0,0,0,,,,,,,0,0,,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,
DMR Permits et al 2024,CHARTWELL TENDERFOOT HILL RD HOTEL,Ground Water,38.79271,-104.80548,2020,06/30/2020,,,,,ng/L,0,0.032,,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,0,0,0,,,,,,,0,0,,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,
DMR Permits et al 2024,CHARTWELL TENDERFOOT HILL RD HOTEL,Ground Water,38.79271,-104.80548,2020,09/30/2020,,,,,ng/L,0,0.0161,,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,0,0,0,,,,,,,0,0,,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,
DMR Permits et al 2024,CHARTWELL TENDERFOOT HILL RD HOTEL,Ground Water,38.79271,-104.80548,2020,12/31/2020,,,,,ng/L,0,0.0255,,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,0,0,0,,,,,,,0,0,,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,
DMR Permits et al 2024,CHARTWELL TENDERFOOT HILL RD HOTEL,Ground Water,38.79271,-104.80548,2021,03/31/2021,,,,,ng/L,0,0.0193,,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,0,0,0,,,,,,,0,0,,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,
DMR Permits et al 2024,CHARTWELL TENDERFOOT HILL RD HOTEL,Ground Water,39.803333,-104.945556,2021,06/30/2021,,,,,ng/L,0,0.0173,,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,0,0,0,,,,,,,0,0,,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,
DMR Permits et al 2024,SUNCOR ENERGY (USA) INC - COMMERCE CITY REFINERY,Waste Water (Unsepecified),39.771944,-105.171111,2024,05/31/2024,,,,,ng/L,33,5.5,,0,3,64,24,4.5,0,0,0,0,0,,,0,0,,16.5,11,14.5,16,0,0,,,,,,,0,0,,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,
DMR Permits et al 2024,MOLSON COORSGOLDEN FACILITY,Waste Water (Unsepecified),39.771944,-105.171111,2022,07/31/2022,,,,,ng/L,3.1,3.4,,0,0,2.5,5.4,4.6,0,0,0,0,0,,,0,0,,17.7,0,0,31.5,0,0,,,,,,,0,0,,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,
DMR Permits et al 2024,MOLSON COORSGOLDEN FACILITY,Waste Water (Unsepecified),39.771944,-105.171111,2022,08/31/2022,,,,,ng/L,3.7,3.6,,0,0,3.9,0,0,0,0,0,0,0,,,0,0,,20.3,0,0,17,0,0,,,,,,,0,0,,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,
