Sample_ID,Florida_County_Name,Latitude,Longitude,
BRE_0904_028,Brevard_County,28.4775,-80.76833333,
BRE_0906_030,Brevard_County,28.44666667,-80.72055556,
BRE_0907_031,Brevard_County,28.405,-80.63916667,
BRE_0908_032,Brevard_County,28.40888889,-80.63166667,
BRE_0909_033,Brevard_County,28.395,-80.61861111,
BRE_0910_034,Brevard_County,28.13611111,-80.60527778,
BRE_1722_035,Brevard_County,28.4021224,-80.662701,
BRE_1723_036,Brevard_County,28.4034436,-80.6615815,
BRE_1724_037,Brevard_County,28.4089708,-80.6196472,
BRE_1725_038,Brevard_County,28.4084963,-80.594707,
BRE_1726_039,Brevard_County,28.3914325,-80.5952596,
BRE_1727_040,Brevard_County,28.3950468,-80.6195161,
BRE_1728_041,Brevard_County,28.3814315,-80.6089958,
BRE_1729_042,Brevard_County,28.3593104,-80.6221872,
BRE_1730_043,Brevard_County,28.3488286,-80.6118229,
BRE_1731_044,Brevard_County,28.3235581,-80.6071947,
BRE_1732_045,Brevard_County,28.3134185,-80.6335424,
BRE_1736_048,Brevard_County,28.2927073,-80.6162019,
BRE_1737_049,Brevard_County,28.2732317,-80.0058456,
BRE_1738_050,Brevard_County,28.2591602,-80.6039321,
BRE_1739_051,Brevard_County,28.2146551,-80.5970187,
BRE_1740_052,Brevard_County,28.1930728,-80.6105465,
BRE_1741_053,Brevard_County,28.1832435,-80.6105116,
BRE_1742_054,Brevard_County,28.1647322,-80.5862638,
BRE_1743_055,Brevard_County,28.1225739,-80.5752235,
BRE_1744_056,Brevard_County,28.056245,-80.5508264,
BRE_1745_057,Brevard_County,28.0476849,-80.5470348,
BRE_1746_058,Brevard_County,27.9875788,-80.5246011,
BRE_1747_059,Brevard_County,28.0428536,-80.5532324,
BRE_1748_060,Brevard_County,28.0671137,-80.5655648,
BRE_1749_061,Brevard_County,28.0884578,-80.5788652,
BRE_1750_062,Brevard_County,28.0813619,-80.5975937,
BRE_1751_063,Brevard_County,28.0709381,-80.6036026,
BRE_1752_064,Brevard_County,28.0404064,-80.5802117,
BRE_1753_065,Brevard_County,27.9756257,-80.5478193,
BRE_1754_066,Brevard_County,28.1243351,-80.6240487,
BRE_1755_067,Brevard_County,28.1324482,-80.62582,
BRE_1757_068,Brevard_County,28.1386626,-80.6013002,
BRE_1758_069,Brevard_County,28.1494054,-80.6048816,
BRE_1759_070,Brevard_County,28.1719839,-80.6212508,
BRE_1760_071,Brevard_County,28.195703,-80.6335763,
BRE_1761_072,Brevard_County,28.2083076,-80.6350619,
BRE_1762_073,Brevard_County,28.2081821,-80.6625609,
BRE_1763_074,Brevard_County,28.229442,-80.6711731,
