Article (Author et al YYYY),Sample Name,Sample Type,Latitude,Longitude,Sampling Year,Sample Date (MM/DD/YYY),Sample Time,Analysis Method,Streamflow (m3/s),Sampling Depth (m),Units,PFHxS,PFOA,PFOS,PFBA,PFBS,PFHpA,PFHpS,PFHxA,PFPeA,PFPeS,FBSA,PFDA,PFNA,GenX,4:2 FTS,6:2 FTS,8:2 FTS,10:2 FTS,3:3 FTCA,5:3 FTCA,7:3 FTCA,PFPA,PFMOPrA,PFMOBA,PFMOAA,PFO2HxA,PFO3OA,PFO4DA,PFESA BP 1,PFESA BP 2,PFDoS,PFUnDA,FOSAA,N-MeFOSE,NMeFOSAA,NMeFOSA,N-EtFOSE,NEtFOSAA,N-EtFOSA,PFDS,PFTeDA,PFHxDA,PFHxSA,PFNS,PFTrDA,PFDoA,PFOSA,9-Cl-PF3ONS,11-Cl-PF3OUdS,PFECA-G,ADONA,PFEESA,NFDHA,PFODA,pH,TOC (mg/L),DOC (mg/L),Suspended Sediment
Quezada_Davalos_et_al_2023,Costco,Surface Water,38.90778,-104.82278,2019,2/9/2019,,Unnamed_SPE_LCMS_MS,,,ng/L,5.44,3.04,2.84,,6.12,1.96,0,6.96,5.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quezada_Davalos_et_al_2023,Dorchester Park,Surface Water,38.81611,-104.82417,2019,2/9/2019,,Unnamed_SPE_LCMS_MS,,,ng/L,3.84,2.56,2.12,,3.64,,0,4.2,4.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quezada_Davalos_et_al_2023,Dorchester Park,Surface Water,38.81611,-104.82417,2019,2/9/2019,,Unnamed_SPE_LCMS_MS,,,ng/L,3.56,2.56,5.16,,3.56,1.84,0,4.72,4.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quezada_Davalos_et_al_2023,FCNC-South,Surface Water,38.6825,-104.71278,2019,2/9/2019,,Unnamed_SPE_LCMS_MS,,,ng/L,19.12,4.88,11.36,2.2,7.96,4,0,17.36,14.32,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quezada_Davalos_et_al_2023,FCNC-South,Surface Water,38.6825,-104.71278,2019,2/9/2019,,Unnamed_SPE_LCMS_MS,,,ng/L,17.28,5,14.8,3,8.44,4.36,0,17.88,14.16,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quezada_Davalos_et_al_2023,SCYSC,Surface Water,38.7875,-104.775,2019,2/9/2019,,Unnamed_SPE_LCMS_MS,,,ng/L,3.16,1.72,3.48,2.3,7.48,,0,3.92,3.2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quezada_Davalos_et_al_2023,SCYSC,Surface Water,38.7875,-104.775,2019,2/9/2019,,Unnamed_SPE_LCMS_MS,,,ng/L,3.04,1.76,2.32,2.5,7.52,,0,3.08,3.08,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quezada_Davalos_et_al_2023,Aqua Lane,Surface Water,38.77083,-104.77056,2019,2/9/2019,,Unnamed_SPE_LCMS_MS,,,ng/L,3.84,3.32,6.56,2.4,4.6,2.76,0,12.12,8.44,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quezada_Davalos_et_al_2023,Aqua Lane,Surface Water,38.77083,-104.77056,2019,2/9/2019,,Unnamed_SPE_LCMS_MS,,,ng/L,3.76,3.92,7.16,2.7,4.4,3.16,0,12.88,8.64,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quezada_Davalos_et_al_2023,Bridge,Surface Water,38.72889,-104.73333,2019,2/9/2019,,Unnamed_SPE_LCMS_MS,,,ng/L,15.68,5.72,13.76,3.7,7.44,4.76,0,19.76,13.24,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quezada_Davalos_et_al_2023,Bridge,Surface Water,38.72889,-104.73333,2019,2/9/2019,,Unnamed_SPE_LCMS_MS,,,ng/L,15.28,6.2,16.56,4,7.28,4.8,0,17.56,13.28,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quezada_Davalos_et_al_2023,FCRP,Surface Water,38.72056,-104.72611,2019,2/9/2019,,Unnamed_SPE_LCMS_MS,,,ng/L,20.2,5.8,15.56,3.2,7.2,4.92,0,18.56,12.4,4.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quezada_Davalos_et_al_2023,FCRP,Surface Water,38.72056,-104.72611,2019,2/9/2019,,Unnamed_SPE_LCMS_MS,,,ng/L,22.6,6.6,13.52,3.5,7.28,5,0,21.8,13.68,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quezada_Davalos_et_al_2023,Costco,Surface Water,38.90778,-104.82278,2019,3/16/2019,,Unnamed_SPE_LCMS_MS,,,ng/L,4.64,4,7.6,3.6,3.68,2.68,0,9.48,7.76,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quezada_Davalos_et_al_2023,Costco,Surface Water,38.90778,-104.82278,2019,3/16/2019,,Unnamed_SPE_LCMS_MS,,,ng/L,3.56,3.48,8.4,3.2,3.96,2.24,0,8.96,7.08,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quezada_Davalos_et_al_2023,Aqua Lane,Surface Water,38.77083,-104.77056,2019,3/16/2019,,Unnamed_SPE_LCMS_MS,,,ng/L,5.8,4.48,2.36,3.1,6.48,2.48,0,8.84,8.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quezada_Davalos_et_al_2023,Aqua Lane,Surface Water,38.77083,-104.77056,2019,3/16/2019,,Unnamed_SPE_LCMS_MS,,,ng/L,5.28,4.24,2.32,2.4,5.96,2.72,0,8.4,8.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quezada_Davalos_et_al_2023,Dorchester Park,Surface Water,38.81611,-104.82417,2019,3/16/2019,,Unnamed_SPE_LCMS_MS,,,ng/L,4.04,3.24,5.76,2.5,4.44,1.72,0,7.32,6.4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quezada_Davalos_et_al_2023,Dorchester Park,Surface Water,38.81611,-104.82417,2019,3/16/2019,,Unnamed_SPE_LCMS_MS,,,ng/L,4.2,3.2,5.32,1.6,5.92,2,0,7.76,6.28,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quezada_Davalos_et_al_2023,FCRP,Surface Water,38.72056,-104.72611,2019,3/16/2019,,Unnamed_SPE_LCMS_MS,,,ng/L,26.88,8.56,10.72,5.28,13.12,4.36,0,21.76,17.8,4.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quezada_Davalos_et_al_2023,FCRP,Surface Water,38.72056,-104.72611,2019,3/16/2019,,Unnamed_SPE_LCMS_MS,,,ng/L,27.44,9.08,17.08,5.16,13.6,4.36,0,20.8,14.6,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quezada_Davalos_et_al_2023,FCNC-North,Surface Water,38.70972,-104.71694,2019,3/16/2019,,Unnamed_SPE_LCMS_MS,,,ng/L,20.2,7.16,9.52,4.2,12.72,3.84,0,18.64,14.24,4.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quezada_Davalos_et_al_2023,FCNC-North,Surface Water,38.70972,-104.71694,2019,3/16/2019,,Unnamed_SPE_LCMS_MS,,,ng/L,20.16,6.2,10.08,4.6,8.8,3.48,0,17.92,13.72,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quezada_Davalos_et_al_2023,Dorchester Park,Surface Water,38.81611,-104.82417,2019,4/20/2019,,Unnamed_SPE_LCMS_MS,,,ng/L,5.56,3.12,0,5.88,3.04,2.16,0,7.68,7.2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
