Article (Author et al YYYY),Sample Name,Sample Type,Latitude,Longitude,Sampling Year,Sample Date (MM/DD/YYY),Sample Time,Analysis Method,Streamflow (m3/s),Sampling Depth (m),Units,PFHxS,PFOA,PFOS,PFBA,PFBS,PFHpA,PFHpS,PFHxA,PFPeA,PFPeS,FBSA,PFDA,PFNA,GenX,4:2 FTS,6:2 FTS,8:2 FTS,10:2 FTS,3:3 FTCA,5:3 FTCA,7:3 FTCA,PFPA,PFMOPrA,PFMOBA,PFMOAA,PFO2HxA,PFO3OA,PFO4DA,PFESA BP 1,PFESA BP 2,PFDoS,PFUnDA,FOSAA,N-MeFOSE,NMeFOSAA,NMeFOSA,N-EtFOSE,NEtFOSAA,N-EtFOSA,PFDS,PFTeDA,PFHxDA,PFHxSA,PFNS,PFTrDA,PFDoA,PFOSA,9-Cl-PF3ONS,11-Cl-PF3OUdS,PFECA-G,ADONA,PFEESA,NFDHA,PFODA,pH,TOC (mg/L),DOC (mg/L),Suspended Sediment
Quezada_Davalos_et_al_2023,Aqua Lane,Surface Water,38.77083,-104.77056,2019,5/25/2019,,Unnamed_SPE_LCMS_MS,,,ng/L,4.44,3.88,4.76,2.48,7.44,,0,8.76,8.04,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quezada_Davalos_et_al_2023,Aqua Lane,Surface Water,38.77083,-104.77056,2019,5/25/2019,,Unnamed_SPE_LCMS_MS,,,ng/L,3.76,4.12,4.42,2.16,7.72,,0,9.32,9.12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quezada_Davalos_et_al_2023,Costco,Surface Water,38.90778,-104.82278,2019,6/23/2019,,Unnamed_SPE_LCMS_MS,,,ng/L,5.04,5.52,2,2.96,4.28,2.88,0,11.48,12.84,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quezada_Davalos_et_al_2023,Costco,Surface Water,38.90778,-104.82278,2019,6/23/2019,,Unnamed_SPE_LCMS_MS,,,ng/L,4.16,5.16,0,3.56,5.84,3.68,0,11.2,10.12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quezada_Davalos_et_al_2023,FCNC-North,Surface Water,38.70972,-104.71694,2019,6/23/2019,,Unnamed_SPE_LCMS_MS,,,ng/L,16.44,6.24,11.12,5.2,9.76,4,0,17.04,11.36,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quezada_Davalos_et_al_2023,FCNC-North,Surface Water,38.70972,-104.71694,2019,6/23/2019,,Unnamed_SPE_LCMS_MS,,,ng/L,14.28,6.12,11.36,6.44,10.08,3.28,0,15.32,10.96,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quezada_Davalos_et_al_2023,FCNC-North,Surface Water,38.70972,-104.71694,2019,5/25/2019,,Unnamed_SPE_LCMS_MS,,,ng/L,22.66,6,18.88,3,9.92,3.2,0,13.44,10.72,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quezada_Davalos_et_al_2023,FCNC-North,Surface Water,38.70972,-104.71694,2019,5/25/2019,,Unnamed_SPE_LCMS_MS,,,ng/L,22.52,7.52,13.84,3.96,10.36,4.68,0,16.72,13.8,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quezada_Davalos_et_al_2023,Bridge,Surface Water,38.72889,-104.73333,2019,6/23/2019,,Unnamed_SPE_LCMS_MS,,,ng/L,15.44,5.76,11,5.68,7.24,3.6,0,14.28,8.84,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quezada_Davalos_et_al_2023,Bridge,Surface Water,38.72889,-104.73333,2019,6/23/2019,,Unnamed_SPE_LCMS_MS,,,ng/L,10.56,,12.16,5.48,7.12,4.24,,15.92,11.48,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quezada_Davalos_et_al_2023,FCRP,Surface Water,38.72056,-104.72611,2019,6/23/2019,,Unnamed_SPE_LCMS_MS,,,ng/L,25.04,,25.12,5.76,13.04,4.44,,18.6,13.32,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quezada_Davalos_et_al_2023,FCRP,Surface Water,38.72056,-104.72611,2019,6/23/2019,,Unnamed_SPE_LCMS_MS,,,ng/L,25.72,,30.74,4.52,12.24,5.12,,20.88,13,4.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
