Article (Author et al YYYY),Sample Name,Sample Type,Latitude,Longitude,Sampling Year,Sample Date (MM/DD/YYY),Sample Time,Analysis Method,Streamflow (m3/s),Sampling Depth (m),Units,PFOS,PFOA,FBSA,PFDA,PFNA,PFHxS,PFHxA,PFHpA,PFHpS,GenX,4:2 FTS,6:2 FTS,8:2 FTS,10:2 FTS,3:3 FTCA,5:3 FTCA,7:3 FTCA,PFPA,PFPeA,PFPeS,PFBS,PFBA,PFMOPrA,PFMOBA,PFMOAA,PFO2HxA,PFO3OA,PFO4DA,PFESA BP 1,PFESA BP 2,PFDoS,PFUnDA,FOSAA,N-MeFOSE,NMeFOSAA,NMeFOSA,N-EtFOSE,NEtFOSAA,N-EtFOSA,PFDS,PFTeDA,PFHxDA,PFNS,PFTrDA,PFDoA,PFOSA,9-Cl-PF3ONS,11-Cl-PF3OUdS,PFECA-G,ADONA,PFEESA,NFDHA,PFODA,,,,,,,,,,,,,,,,,,,,,,,,,
,SR-3,Surface Water,33.2025666,-81.7433463,2022,,,Unnamed_SPE_LCMS_MS,,,ng/L,,3.90,,1.94,67.43,,1.67,0.00,,,,,,,,,,,0.00,,,0.00,,,,,,,,,,5.13,,,,,,,,,0.00,,,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BDC,Surface Water,33.1900832,-81.7436034,2022,,,Unnamed_SPE_LCMS_MS,,,ng/L,,9.90,,0.82,11.11,,10.43,8.74,,,,,,,,,,,14.11,,,0.00,,,,,,,,,,0.00,,,,,,,,,0.00,,,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LP,Surface Water,33.5257185,-81.837754,2022,,,Unnamed_SPE_LCMS_MS,,,ng/L,,2.76,,0.29,0.40,,1.96,0.00,,,,,,,,,,,0.00,,,0.00,,,,,,,,,,0.00,,,,,,,,,0.00,,,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FMB-1,Sediment or Soil,33.2745137,-81.652831,2022,,,Unnamed_SPE_LCMS_MS,,,ng/g,,0.00,,0.00,0.00,,0.00,0.00,,,,,,,,,,,0.00,,0.00,,,,,,,,,,,0.03,,,,,,,,,0.04,,,0.06,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FMB-2,Sediment or Soil,33.2493309,-81.6954702,2022,,,Unnamed_SPE_LCMS_MS,,,ng/g,,0.27,,0.45,0.00,,0.00,0.00,,,,,,,,,,,0.00,,0.00,,,,,,,,,,,0.26,,,,,,,,,0.40,,,0.32,0.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FMB-3,Sediment or Soil,33.2190445,-81.7080049,2022,,,Unnamed_SPE_LCMS_MS,,,ng/g,,0.12,,0.00,0.00,,0.00,0.00,,,,,,,,,,,0.00,,0.00,,,,,,,,,,,0.07,,,,,,,,,0.03,,,0.06,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FMB-4,Sediment or Soil,33.2495936,-81.6461823,2022,,,Unnamed_SPE_LCMS_MS,,,ng/g,,0.00,,0.46,0.00,,0.00,0.00,,,,,,,,,,,0.00,,0.00,,,,,,,,,,,0.41,,,,,,,,,0.17,,,0.29,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CC,Sediment or Soil,33.2357821,-81.6807417,2022,,,Unnamed_SPE_LCMS_MS,,,ng/g,,0.00,,0.00,0.00,,0.00,0.00,,,,,,,,,,,0.00,,0.00,,,,,,,,,,,0.11,,,,,,,,,0.06,,,0.16,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PB-1,Sediment or Soil,33.2457364,-81.6434344,2022,,,Unnamed_SPE_LCMS_MS,,,ng/g,,0.23,,0.05,0.16,,0.24,0.00,,,,,,,,,,,0.00,,0.00,,,,,,,,,,,0.04,,,,,,,,,0.03,,,0.06,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PB-2,Sediment or Soil,33.2175791,-81.6405332,2022,,,Unnamed_SPE_LCMS_MS,,,ng/g,,0.00,,0.03,0.00,,0.00,0.00,,,,,,,,,,,0.00,,0.00,,,,,,,,,,,0.01,,,,,,,,,0.00,,,0.02,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
