Article (Author et al YYYY),Sample Name,Sample Type,Latitude,Longitude,Sampling Year,Sample Date (MM/DD/YYY),Sample Time,Analysis Method,Streamflow (m3/s),Sampling Depth (m),Units,PFOS,PFOA,FBSA,PFDA,PFNA,PFHxS,PFHxA,PFHpA,PFHpS,GenX,4:2 FTS,6:2 FTS,8:2 FTS,10:2 FTS,3:3 FTCA,5:3 FTCA,7:3 FTCA,PFPA,PFPeA,PFPeS,PFBS,PFBA,PFMOPrA,PFMOBA,PFMOAA,PFO2HxA,PFO3OA,PFO4DA,PFESA BP 1,PFESA BP 2,PFDoS,PFUnDA,FOSAA,N-MeFOSE,NMeFOSAA,NMeFOSA,N-EtFOSE,NEtFOSAA,N-EtFOSA,PFDS,PFTeDA,PFHxDA,PFHxSA,PFNS,PFTrDA,PFDoA,PFOSA,9-Cl-PF3ONS,11-Cl-PF3OUdS,PFECA-G,ADONA,PFEESA,NFDHA,PFODA,pH,TOC (g/l),DOC
Galloway_2020,William Creek,Surface Water,39.39338,-81.4469,2016,12/3/2016,11:12 AM,EPA 1633,,,ng/L,,55.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galloway_2020,William Creek (dup.),Surface Water,39.39338,-81.4469,2016,12/3/2016,,EPA 1633,,,ng/L,,65.1,,,,,,,,10.7,,,,,,,,,,,,10.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galloway_2020,Briscoe Run,Surface Water,39.34701,-81.5313,2016,12/3/2016,11:37 AM,EPA 1633,,,ng/L,19.5,146,,,,10.1,19.6,29.4,,,,,,,,,,,17.5,,28,10.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galloway_2020,Pond Run,Surface Water,39.31066,-81.54963,2016,12/3/2016,11:51 AM,EPA 1633,,,ng/L,,74.4,,,,,,,,22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galloway_2020,Washington Co. Library ,Tap Water,39.42426,-81.45776,2016,6/9/2016,12:26 PM,EPA 537.1,,,ng/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galloway_2020,Little Hocking P.O,Tap Water,39.26155,-81.69953,2016,7/13/2016,4:17 PM,EPA 537.1,,,ng/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galloway_2020,Barlow Library ,Tap Water,39.39548,-81.66668,2016,12/1/2016,10:59 AM,EPA 537.1,,,ng/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galloway_2020,Watertown P.O,Tap Water,39.46672,-81.63335,2016,12/1/2016,12:10 PM,EPA 537.1,,,ng/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galloway_2020,Warren Elemtary,Tap Water,39.39388,-81.55533,2016,12/2/2016,10:02 AM,EPA 537.1,,,ng/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galloway_2020,Warren Elemtary (dup.),Tap Water,39.39388,-81.55533,2016,12/2/2016,,EPA 537.1,,,ng/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galloway_2020,Devola Private Well,Well Water,39.46812,-81.46629,2016,12/2/2016,1:05 PM,EPA 537.1,,,ng/L,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galloway_2020,Lowell Private Well,Well Water,39.52667,-81.5019,2016,12/2/2016,1:35 PM,EPA 537.1,,,ng/L,,23.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
