Article (Author et al YYYY),Sample Name,Sample Type,Latitude,Longitude,Sample Date (MM/DD/YYY),Sample Time,Analysis Method,PFOS,PFOA,FBSA,PFDA,PFNA,PFHxS,PFHxA,PFHpA,PFHpS,GenX,4:2 FTS,6:2 FTS,8:2 FTS,10:2 FTS,3:3 FTCA,5:3 FTCA,7:3 FTCA,PFPA,PFPeA,PFPeS,PFBS,PFBA,PFMOPrA,PFMOBA,PFMOAA,PFO2HxA,PFO3OA,PFO4DA,PFESA BP 1,PFESA BP 2,PFDoS,PFUnDA,FOSAA,N-MeFOSE,NMeFOSAA,NMeFOSA,N-EtFOSE,NEtFOSAA,N-EtFOSA,PFDS,PFTeDA,PFHxDA,PFNS,PFTrDA,PFDoA,PFOSA,9-Cl-PF3ONS,11-Cl-PF3OUdS,PFECA-G,ADONA,PFEESA,NFDHA,PFMBA
Camacho_et_al_2024,SAR_1522_060,Surface Water,27.27194444,-82.53277778,,,EPA 1633,39.8,12.5,5,6.9,5.2,9,9.1,6.9,,,0,,,,,,,,,0,10.8,,,,,,,,,,,3.4,,,,,,,,,,,0,,0,,0,0,,,,,
Camacho_et_al_2024,SAR_1523_061,Surface Water,27.27666667,-82.49972222,,,EPA 1633,20.6,11.8,5.5,4.5,3.2,11.7,9.8,7.8,,,0,,,,,,,,,0,12.8,,,,,,,,,,,2.5,,,,,,,,,,,0,,0,,0,0,,,,,
Camacho_et_al_2024,SAR_1524_062,Surface Water,27.32055556,-82.50416667,,,EPA 1633,10.7,12,5.3,2.6,2.9,11.6,13.9,8,,,0,,,,,,,,,0,15.3,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,0,,,,,
Camacho_et_al_2024,SAR_1525_063,Surface Water,27.11722222,-82.44944444,,,EPA 1633,6.6,3.2,0,2.4,1.8,0,2.8,2.8,,,0,,,,,,,,,0,4.7,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,0,,,,,
Camacho_et_al_2024,SAR_1526_064,Surface Water,27.1175,-82.43361111,,,EPA 1633,4.9,5.9,0,0,1.8,9.2,6.8,6.2,,,0,,,,,,,,,0,12.6,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,0,,,,,
Camacho_et_al_2024,SAR_1527_065,Surface Water,27.23473333,-82.31119722,,,EPA 1633,8.3,5.2,0,2.8,2.5,0,4.7,4.6,,,0,,,,,,,,,0,8.7,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,0,,,,,
Camacho_et_al_2024,SAR_1528_066,Surface Water,27.2495,-82.38611111,,,EPA 1633,5.4,8.9,0,0,1.8,0,7.8,5.4,,,0,,,,,,,,,0,9.4,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,0,,,,,
Camacho_et_al_2024,SAR_1530_068,Surface Water,27.15804444,-82.45684167,,,EPA 1633,0,3.3,0,0,1.6,0,5.5,4,,,0,,,,,,,,,0,0,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,0,,,,,
Camacho_et_al_2024,SAR_1825_069,Surface Water,27.12305556,-82.35083333,,,EPA 1633,0,3.9,0,0,1.4,0,3.8,3.9,,,0,,,,,,,,,0,8.8,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,0,,,,,
Camacho_et_al_2024,SAR_1826_070,Surface Water,27.24111111,-82.31416667,,,EPA 1633,4.3,3.7,0,0,1.4,0,3.3,3.6,,,0,,,,,,,,,0,6.5,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,0,,,,,
Camacho_et_al_2024,SAR_1827_071,Surface Water,27.30166667,-82.22361111,,,EPA 1633,4.3,3.8,0,0,1.5,0,3.9,4.1,,,0,,,,,,,,,0,8.5,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,0,,,,,
Camacho_et_al_2024,SAR_1959_072,Surface Water,26.99791667,-82.38883333,,,EPA 1633,5.4,3.8,0,0,1.6,0,3.9,3.2,,,0,,,,,,,,,0,6.8,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,0,,,,,
Camacho_et_al_2024,SAR_1990_073,Surface Water,27.04505278,-82.293525,,,EPA 1633,4.4,3.6,0,0,1.5,0,4.8,4,,,0,,,,,,,,,0,8,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,0,,,,,
Camacho_et_al_2024,SAR_1995_074,Surface Water,27.07676111,-82.21241667,,,EPA 1633,4.5,6,5.2,0,1.7,0,10.4,5.8,,,0,,,,,,,,,0,13.3,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,0,,,,,
Camacho_et_al_2024,SAR_1997_075,Surface Water,27.11981667,-82.14920278,,,EPA 1633,4.4,4.1,0,0,1.6,0,4.4,4.5,,,0,,,,,,,,,0,6.7,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,0,,,,,
Camacho_et_al_2024,SAR_1998_076,Surface Water,27.05881111,-82.46147778,,,EPA 1633,5.2,4.2,0,0,1.6,0,4.5,3.6,,,0,,,,,,,,,0,9.2,,,,,,,,,,,2,,,,,,,,,,,0,,0,,0,0,,,,,
Camacho_et_al_2024,SAR_2003_077,Surface Water,27.26566111,-82.28823333,,,EPA 1633,5,4.7,0,0,1.7,0,3.6,4.5,,,0,,,,,,,,,0,9.7,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,0,,,,,
