Article (Author et al YYYY),Sample Name,Sample Type,Latitude,Longitude,Sampling Year,Sample Date (MM/DD/YYY),Sample Time,Analysis Method,Streamflow (m3/s),Sampling Depth (m),PFOS,PFOA,FBSA,PFDA,PFNA,PFHxS,PFHxA,PFHpA,PFHpS,GenX,4:2 FTS,6:2 FTS,8:2 FTS,10:2 FTS,3:3 FTCA,5:3 FTCA,7:3 FTCA,PFPA,PFPeA,PFPeS,PFBS,PFBA,PFMOPrA,PFMOBA,PFMOAA,PFO2HxA,PFO3OA,PFO4DA,PFESA BP 1,PFESA BP 2,PFDoS,PFUnDA,FOSAA,N-MeFOSE,NMeFOSAA,NMeFOSA,N-EtFOSE,NEtFOSAA,N-EtFOSA,PFDS,PFTeDA,PFHxDA,PFNS,PFTrDA,PFDoA,PFOSA,9-Cl-PF3ONS,11-Cl-PF3OUdS,PFECA-G,ADONA,PFEESA,NFDHA
Dunn_et_al_2023,7,Surface Water,41.35365,-71.83172,2021,11/22/2021,,EPA 533,,,5.9,3.8,,0.75,1.8,,2.9,,,,,,,,,,,,2.4,,,2.3,,,,,,,,,,2.6,,,,,,,,,,,,,,,,,,,,
Dunn_et_al_2023,7,Surface Water,41.35365,-71.83172,2022,1/18/2022,,EPA 533,,,5.4,4.9,,0.72,2,,3.1,9.9,,,,,,,,,,,2.5,,,3.9,,,,,,,,,,1.2,,,,,,,,,,,,,,,,,,,,
Dunn_et_al_2023,7,Surface Water,41.35365,-71.83172,2022,4/21/2022,,EPA 533,,,2.6,2.7,,0.88,,,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dunn_et_al_2023,WL1,Surface Water,41.39964,-71.76709,2021,5/26/2021,,EPA 533,,,71.4,58.1,,61.1,29.9,9.5,13.9,30.2,2.8,,,,,,,,0,,12.7,,,17.9,,,,,,,,,,62.9,,,,,,,,,,,,,,,,,,,,
Dunn_et_al_2023,WL1,Surface Water,41.39964,-71.76709,2021,9/2/2021,,EPA 533,,,22.26,53.93,,30.4,27.42,2.37,20.58,,0.51,,,,,,,,1.11,,18.15,,,13.52,,,,,,,,,,27.42,,,,,,,,,,,,,,,,,,,,
Dunn_et_al_2023,WL1,Surface Water,41.39964,-71.76709,2021,9/8/2021,,EPA 533,,,20.05,33.34,,17.94,15.31,2.68,16.2,17.4,2.44,,,,,,,,2.02,,,,,,,,,,,,,,,14.6,,,,,,,,,,,,,,,,,,,,
Dunn_et_al_2023,WL1,Surface Water,41.39964,-71.76709,2021,10/14/2021,,EPA 533,,,20.74,30.83,,16.11,12.94,1.26,13.57,13.14,0.37,,,,,,,,0.46,,12.2,,,16.49,,,,,,,,,,13.14,,,,,,,,,,,,,,,,,,,,
Dunn_et_al_2023,WL1,Surface Water,41.39964,-71.76709,2021,11/17/2021,,EPA 533,,,31.25,50.71,,33.12,25.18,1.86,14.84,19.3,0.42,,,,,,,,0.24,,14.55,,,13.94,,,,,,,,,,25.5,,,,,,,,,,,,,,,,,,,,
Dunn_et_al_2023,WL1,Surface Water,41.39964,-71.76709,2021,12/21/2021,,EPA 533,,,32.73,48.36,,33.19,27.97,11.3,16.99,26.32,0.91,,,,,,,,,,16.15,,,18.02,,,,,,,,,,21.45,,,,,,,,,,,,,,,,,,,,
Dunn_et_al_2023,WL1,Surface Water,41.39964,-71.76709,2022,1/25/2022,,EPA 533,,,24.66,43.84,,23.8,20.41,2.75,12.74,24.28,0.41,,,,,,,,,,13.27,,,16.6,,,,,,,,,,24.37,,,,,,,,,,,,,,,,,,,,
Dunn_et_al_2023,WL2,Surface Water,41.39599,-71.8418,2021,7/28/2021,,EPA 533,,,4.53,6.44,,1.51,2.11,0.84,11.3,5.5,0,,,,,,,,0.73,,5.32,,,6.31,,,,,,,,,,1.27,,,,,,,,,,,,,,,,,,,,
Dunn_et_al_2023,WL2,Surface Water,41.39599,-71.8418,2021,9/8/2021,,EPA 533,,,5.03,10.26,,2.6,3,0.77,10.06,9.26,0.11,,,,,,,,0,,8.34,,,32.8,,,,,,,,,,1.43,,,,,,,,,,,,,,,,,,,,
Dunn_et_al_2023,WL2,Surface Water,41.39599,-71.8418,2021,10/14/2021,,EPA 533,,,4.86,4.94,,1.11,1.54,0.57,7.29,,0,,,,,,,,0,,2.91,,,6.2,,,,,,,,,,0.94,,,,,,,,,,,,,,,,,,,,
Dunn_et_al_2023,WL2,Surface Water,41.39599,-71.8418,2021,11/17/2021,,EPA 533,,,6.57,4.09,,0.65,1.82,0.59,4.75,5.68,0,,,,,,,,0,,4.6,,,7.2,,,,,,,,,,0.47,,,,,,,,,,,,,,,,,,,,
Dunn_et_al_2023,WL2,Surface Water,41.39599,-71.8418,2021,12/20/2021,,EPA 533,,,5.46,6.77,,1.61,2.14,9.53,6.07,7.85,0.3,,,,,,,,0.08,,3.85,,,5.91,,,,,,,,,,1.03,,,,,,,,,,,,,,,,,,,,
Dunn_et_al_2023,WL2,Surface Water,41.39599,-71.8418,2022,1/25/2022,,EPA 533,,,6.27,4.93,,0.56,2.14,0.86,4.55,7.48,0.15,,,,,,,,0,,3.3,,,7.04,,,,,,,,,,0.64,,,,,,,,,,,,,,,,,,,,
