Article (Author et al YYYY),Sample Name,Sample Type,Latitude,Longitude,Sampling Year,Sample Date (MM/DD/YYY),Sample Time,Analysis Method,Streamflow (m3/s),Sampling Depth (m),Units,PFOS,PFOA,FBSA,PFDA,PFNA,PFHxS,PFHxA,PFHpA,PFHpS,GenX,4:2 FTS,6:2 FTS,8:2 FTS,10:2 FTS,3:3 FTCA,5:3 FTCA,7:3 FTCA,PFPA,PFPeA,PFPeS,PFBS,PFBA,PFMOPrA,PFMOBA,PFMOAA,PFO2HxA,PFO3OA,PFO4DA,PFESA BP 1,PFESA BP 2,PFDoS,PFU0A,FOSAA,N-MeFOSE,NMeFOSAA,NMeFOSA,N-EtFOSE,NEtFOSAA,N-EtFOSA,PFDS,PFTeDA,PFHxDA,PFNS,PFTrDA,PFDoA,PFOSA,9-Cl-PF3ONS,11-Cl-PF3OUdS,PFECA-G,ADONA,PFEESA,NFDHA,PFODA
Forster_et_al_2024,Gillies Creek,Surface Water,34.1916255,-80.6899705,2022,,,Unnamed_SPE_LCMS_MS,,,ng/L,5.3,1.8,,0,4.3,1.3,0,1.3,0,0,0,0,0,,,,,,0,0,76.8,0,,,,,,,,,0,0,,0,8.3,0,0,0,0,0,0,,0,0,0,0,,,,0,,,
Forster_et_al_2024,Lake Monticello,Surface Water,35.0153663,-81.0093394,2022,,,Unnamed_SPE_LCMS_MS,,,ng/L,2.6,1.5,,0,4.6,1.4,0,0,0,0,0,0,0,,,,,,0,1.7,0,0,,,,,,,,,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0,,,
Forster_et_al_2024,Lake Wateree,Surface Water,34.4280398,-80.8619412,2022,,,Unnamed_SPE_LCMS_MS,,,ng/L,8.3,2.4,,0,3.7,1.3,0,0,0,0,0,0,0,,,,,,0,2.8,0,0,,,,,,,,,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0,,,
Forster_et_al_2024,Catawba River Lower,Surface Water,34.7094316,-80.8577708,2022,,,Unnamed_SPE_LCMS_MS,,,ng/L,11.2,3.8,,0,0,0,0,0,0,0,0,0,0,,,,,,0,,0,0,,,,,,,,,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0,,,
Forster_et_al_2024,Catawba River Upper,Surface Water,34.8453499,-80.8785945,2022,,,Unnamed_SPE_LCMS_MS,,,ng/L,3.9,8.2,,0,0,2.1,0,0,0,0,0,0,0,,,,,,0,0,0,0,,,,,,,,,0,0,,0,0,0,0,0,0,3.2,0,,0,0,0,0,,,,0,,,
Forster_et_al_2024,Willowbrook Creek,Surface Water,34.2722212,-81.6275676,2022,,,Unnamed_SPE_LCMS_MS,,,ng/L,4.2,3.3,,0,1.5,3.1,0,8.9,0,3.6,0,0,0,,,,,,2.5,1.4,5.7,3.1,,,,,,,,,0,0,,0,1.3,0,0,0,0,2.3,0,,0,0,0,0,,,,0,,,
Forster_et_al_2024,Lake Greenwood,Surface Water,34.199832,-81.949904,2022,,,Unnamed_SPE_LCMS_MS,,,ng/L,14.3,1.3,,0,0,1.5,0,0,0,0,0,0,0,,,,,,0,2.6,0,0,,,,,,,,,0,0,,0,0,0,0,0,0,2.8,0,,0,0,0,0,,,,0,,,
Forster_et_al_2024,Reedy Creek,Surface Water,34.3059712,-81.6543632,2022,,,Unnamed_SPE_LCMS_MS,,,ng/L,1.2,0,,0,2.8,1.8,0,1.4,0,1.8,0,0,0,,,,,,0,0,13,2.6,,,,,,,,,0,0,,0,0,2.2,0,0,0,2.9,0,,0,0,0,0,,,,0,,,
Forster_et_al_2024,Spartanburg Po0,Surface Water,34.9875321,-81.9588802,2022,,,Unnamed_SPE_LCMS_MS,,,ng/L,9.3,0,,0,6.5,0,0,1.3,0,2.1,0,0,0,,,,,,0,0,6.7,7,,,,,,,,,0,0,,0,1.6,0,0,0,0,0,0,,0,0,0,0,,,,0,,,
Forster_et_al_2024,Reedy River ,Surface Water,34.8446515,-82.4010224,2022,,,Unnamed_SPE_LCMS_MS,,,ng/L,13,8.5,,0,0,2.8,0,23.1,0,0,0,0,0,,,,,,5.1,0,11.8,0,,,,,,,,,0,0,,0,0,5,0,0,0,0,0,,0,0,0,0,,,,0,,,
Forster_et_al_2024,Lake Conestee,Surface Water,34.7748194,-82.3506671,2022,,,Unnamed_SPE_LCMS_MS,,,ng/L,10.7,19.2,,0,0,1.1,0,1.9,0,0,0,0,0,,,,,,7.3,0,9.9,0,,,,,,,,,0,0,,0,0,4.1,0,0,0,0,0,,0,0,0,0,,,,0,,,
Forster_et_al_2024,Little Po0,Surface Water,34.8133225,-82.3004647,2022,,,Unnamed_SPE_LCMS_MS,,,ng/L,4.5,0,,0,11.2,2.3,0,1.5,0,3.9,0,0,0,,,,,,0,0,0,2.4,,,,,,,,,0,0,,0,30.2,0,0,0,0,0,0,,0,0,0,0,,,,0,,,
Forster_et_al_2024,Gregg Shoals,Surface Water,34.213842,-82.739269,2022,,,Unnamed_SPE_LCMS_MS,,,ng/L,3.8,0,,0,0,0,0,13.9,0,5.2,0,0,0,,,,,,0,0,10.8,0,,,,,,,,,0,0,,0,40.8,0,0,0,0,0,0,,0,0,0,0,,,,0,,,
Forster_et_al_2024,Lake Keowee,Surface Water,34.7114137,-82.9693495,2022,,,Unnamed_SPE_LCMS_MS,,,ng/L,5.7,4.3,,0,2.4,0,1.3,2.7,0,1.2,0,0,0,,,,,,7.8,1.4,13.9,2.7,,,,,,,,,0,0,,0,5.1,3.1,0,0,0,2.5,0,,0,0,0,0,,,,0,,,
