Article (Author et al YYYY),Sample Name,Approx Mile Marker,Sample Type,Latitude,Longitude,Sampling Year,Sample Date (MM/DD/YYY),Sample Time,Analysis Method,Streamflow (m3/s),Sampling Depth (m),Units,PFOS,PFOA,FBSA,PFDA,PFNA,PFHxS,PFHxA,PFHpA,PFHpS,GenX,4:2 FTS,6:2 FTS,8:2 FTS,10:2 FTS,3:3 FTCA,5:3 FTCA,7:3 FTCA,PFPA,PFPeA,PFPeS,PFBS,PFBA,PFMOPrA,PFMOBA,PFMOAA,PFO2HxA,PFO3OA,PFO4DA,PFESA BP 1,PFESA BP 2,PFDoS,PFUnDA,FOSAA,N-MeFOSE,NMeFOSAA,NMeFOSA,N-EtFOSE,NEtFOSAA,N-EtFOSA,PFDS,PFTeDA,PFHxDA,PFHxSA,PFNS,PFTrDA,PFDoA,PFOSA,9-Cl-PF3ONS,11-Cl-PF3OUdS,PFECA-G,ADONA,PFEESA,NFDHA,PFODA,pH,TOC (g/l),DOC
Hansen_et_al_2002,31,279,Surface Water,34.7859,-87.3273,2000,11/15/2000,,Unnamed_SPE_LCMS_MS,,14.0208,ng/L,106,404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hansen_et_al_2002,32,277,Surface Water,34.8107,-87.346,2000,11/15/2000,,Unnamed_SPE_LCMS_MS,,7.9248,ng/L,112,275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hansen_et_al_2002,33,275,Surface Water,34.8137,-87.3804,2000,11/15/2000,,Unnamed_SPE_LCMS_MS,,15.24,ng/L,144,383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hansen_et_al_2002,34,273,Surface Water,34.8077,-87.4144,2000,11/15/2000,,Unnamed_SPE_LCMS_MS,,5.7912,ng/L,92.3,295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hansen_et_al_2002,35,271,Surface Water,34.8058,-87.4462,2000,11/15/2000,,Unnamed_SPE_LCMS_MS,,7.3152,ng/L,110,385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hansen_et_al_2002,36,269,Surface Water,34.8083,-87.4781,2000,11/15/2000,,Unnamed_SPE_LCMS_MS,,11.5824,ng/L,105,348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hansen_et_al_2002,37,267,Surface Water,34.8161,-87.5087,2000,11/15/2000,,Unnamed_SPE_LCMS_MS,,14.6304,ng/L,119,531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hansen_et_al_2002,38,265,Surface Water,34.8235,-87.5398,2000,11/15/2000,,Unnamed_SPE_LCMS_MS,,16.764,ng/L,133,598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hansen_et_al_2002,39,263,Surface Water,34.8176,-87.5709,2000,11/15/2000,,Unnamed_SPE_LCMS_MS,,21.336,ng/L,127,580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hansen_et_al_2002,40,261,Surface Water,34.811,-87.6018,2000,11/15/2000,,Unnamed_SPE_LCMS_MS,,22.86,ng/L,119,521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
