Article (Author et al YYYY),Sample Name,Sample Type,Latitude,Longitude,Sampling Year,Sample Date (MM/DD/YYY),Sample Time,Analysis Method,Streamflow (m3/s),Sampling Depth (m),Units,PFOS,PFOA,FBSA,PFDA,PFNA,PFHxS,PFHxA,PFHpA,PFHpS,GenX,4:2 FTS,6:2 FTS,8:2 FTS,10:2 FTS,3:3 FTCA,5:3 FTCA,7:3 FTCA,PFPA,PFPeA,PFPeS,PFBS,PFBA,PFMOPrA,PFMOBA,PFMOAA,PFO2HxA,PFO3OA,PFO4DA,PFESA BP 1,PFESA BP 2,PFDoS,PFUnDA,FOSAA,N-MeFOSE,NMeFOSAA,NMeFOSA,N-EtFOSE,NEtFOSAA,N-EtFOSA,PFDS,PFTeDA,PFHxDA,PFHxSA,PFNS,PFTrDA,PFDoA,PFOSA,9-Cl-PF3ONS,11-Cl-PF3OUdS,PFECA-G,ADONA,PFEESA,NFDHA,PFODA
MassDEP_2024,Plymouth Harbor,Surface Water,41.96727,-70.66634,2024,10/3/2024,,Unnamed_SPE_LCMS_MS,,,ng/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MassDEP_2024,Boston Harbor (near Castle Island),Surface Water,42.33838,-71.005,2024,10/14/2024,,Unnamed_SPE_LCMS_MS,,,ng/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MassDEP_2024,Hingham Bay,Surface Water,42.267,-70.93454,2024,10/14/2024,,Unnamed_SPE_LCMS_MS,,,ng/L,0.443,0.45,,,,,0.694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MassDEP_2024,Westport River,Surface Water,41.51506,-71.07452,2024,10/17/2024,,Unnamed_SPE_LCMS_MS,,,ng/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MassDEP_2024,Cape Cod Bay,Surface Water,41.85552,-70.52271,2024,10/21/2024,,Unnamed_SPE_LCMS_MS,,,ng/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MassDEP_2024,Cape Cod Bay,Surface Water,41.85584,-70.526,2024,10/23/2024,,Unnamed_SPE_LCMS_MS,,,ng/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MassDEP_2024,Allens Harbor,Surface Water,41.66301,-70.08926,2024,10/29/2024,,Unnamed_SPE_LCMS_MS,,,ng/L,,0.612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MassDEP_2024,Lewis Bay,Surface Water,41.63275,-70.25228,2024,10/30/2024,,Unnamed_SPE_LCMS_MS,,,ng/L,0.579,0.5,,,,,0.474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MassDEP_2024,Buttermilk Bay,Surface Water,41.73861,-70.6331,2024,11/4/2024,,Unnamed_SPE_LCMS_MS,,,ng/L,,0.497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MassDEP_2024,Sesuit Harbor,Surface Water,41.7541,-70.15179,2024,11/7/2024,,Unnamed_SPE_LCMS_MS,,,ng/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MassDEP_2024,Mill Creek,Surface Water,41.67539,-70.01999,2024,11/7/2024,,Unnamed_SPE_LCMS_MS,,,ng/L,0.451,0.604,,,,,0.416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
