Article (Author et al YYYY),Sample Name,Sample Type,Latitude (Decimal),Longitude (Decimal),Sample Date (MM/DD/YYY),Sample Time,Analysis Method,PFOS,PFOA,FBSA,PFDA,PFNA,PFHxS,PFHxA,PFHpA,PFHpS,GenX,4:2 FTS,6:2 FTS,8:2 FTS,10:2 FTS,3:3 FTCA,5:3 FTCA,7:3 FTCA,PFPA,PFPeA,PFPeS,PFBS,PFBA,PFMOPrA,PFMOBA,PFMOAA,PFO2HxA,PFO3OA,PFO4DA,PFESA BP 1,PFESA BP 2,PFDoS,PFUnDA,FOSAA,N-MeFOSE,NMeFOSAA,NMeFOSA,N-EtFOSE,NEtFOSAA,N-EtFOSA,PFDS,PFTeDA,PFHxDA,PFNS,PFTrDA,PFDoA,PFOSA,9-Cl-PF3ONS,11-Cl-PF3OUdS,PFECA-G,ADONA,PFEESA,NFDHA,PFMBA,PFODA
NH_DES,199712055201W1C,Surface Water,42.891376,-71.462744,5/24/2018,,Undisclosed,2.4,29,,0,0.49,0.9,12,6.2,0,0,,1.7,0,0,,,,,9.9,0,0.97,3.6,,,,,,,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0
NH_DES,199004008ST1D,Surface Water,42.861,-71.3475,11/2/2023,,Undisclosed,7.4,15,,,0,2.9,6.4,5.1,0,,,,,,,,,,12,,3.8,4.5,,,,,,,,,,,,,,,,,,0,,,0,,,,,,,,,,,
NH_DES,199004008ST1D,Surface Water,42.861,-71.3475,5/2/2023,,Undisclosed,21,21,,,2.2,4.6,7.7,6,0,,,,,,,,,,10,,3.6,18,,,,,,,,,,,,,,,,,,0,,,0,,,,,,,,,,,
NH_DES,199004008ST1D,Surface Water,42.861,-71.3475,10/31/2022,,Undisclosed,10,19,,,0,1.8,9.1,4.2,0,,,,,,,,,,11,,5.5,5.8,,,,,,,,,,,,,,,,,,0,,,0,,,,,,,,,,,
NH_DES,199004008ST1D,Surface Water,42.861,-71.3475,5/6/2022,,Undisclosed,14,13,,,0,2.6,3.7,2.1,0,,,,,,,,,,4.5,,2.1,2.8,,,,,,,,,,,,,,,,,,0,,,0,,,,,,,,,,,
NH_DES,199004008ST1D,Surface Water,42.861,-71.3475,11/11/2021,,Undisclosed,11.1,16.5,,,0,3.32,7.73,4.22,0,,,,,,,,,,8.08,,3.04,4.15,,,,,,,,,,,,,,,,,,0,,,0,,,,,,,,,,,
NH_DES,199004008ST1D,Surface Water,42.861,-71.3475,5/26/2021,,Undisclosed,9.15,23.3,,0,2.79,7.91,27.1,12.17,0,0,0,0,0,0,,,,,12.3,0,12.61,12.85,,,,,,,,,0,0,,,0,,,0,,0,0,0,0,0,0,,,,,0,,,,0
NH_DES,199004008ST1D,Surface Water,42.861,-71.3475,5/26/2021,,Undisclosed,0,,,0,,0,,,0,0,0,0,0,0,,,,,,,0,,,,,,,,,,0,,,,0,,,0,,0,,0,0,,0,,,,,0,,,,0
NH_DES,199004008ST1D,Surface Water,42.861,-71.3475,5/26/2021,,Undisclosed,30.6,41.2,,0,0,0,7.76,4.1,0,0,0,0,0,0,,,,,23.13,0,3.03,4.29,,,,,,,,,0,0,,,0,,,0,,0,0,0,0,0,0,,,,,0,,,,0
NH_DES,199004008ST1D,Surface Water,42.861,-71.3475,12/4/2020,,Undisclosed,15,12.9,,,0,2.14,6.08,3.14,0,,,,,,,,,,6.28,,3.86,3.62,,,,,,,,,,,,,,,,,,0,,,0,,,,,,,,,,,
