Article (Author et al YYYY),Sample Name,Sample Type,Latitude,Longitude,Sampling Year,Sample Date (MM/DD/YYY),Sample Time,Analysis Method,Streamflow (m3/s),Sampling Depth (m),PFOS,PFOA,FBSA,PFDA,PFNA,PFHxS,PFHxA,PFHpA,PFHpS,GenX,4:2 FTS,6:2 FTS,8:2 FTS,10:2 FTS,3:3 FTCA,5:3 FTCA,7:3 FTCA,PFPA,PFPeA,PFPeS,PFBS,PFBA,PFMOPrA,PFMOBA,PFMOAA,PFO2HxA,PFO3OA,PFO4DA,PFESA BP 1,PFESA BP 2,PFDoS,PFUnDA,FOSAA,N-MeFOSE,NMeFOSAA,NMeFOSA,N-EtFOSE,NEtFOSAA,N-EtFOSA,PFDS,PFTeDA,PFHxDA,PFNS,PFTrDA,PFDoA,PFOSA,9-Cl-PF3ONS,11-Cl-PF3OUdS,PFECA-G,ADONA,PFEESA,NFDHA,PFMBA,PFODA
Teymoorian_et_al_2021,CON1,Surface Water,45.845717,-73.310067,2018,,,Unnamed_SPE_LCMS_MS,,,1.96,1.31,0.09,0.05,0.24,0.49,1.04,0.73,0.02,0.00,0.00,0.00,0.07,0.00,0.00,0.00,0.00,,1.08,0.07,0.41,1.88,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,CON2,Surface Water,45.8538,-73.27965,2018,,,Unnamed_SPE_LCMS_MS,,,2.59,1.77,0.13,0.06,0.27,0.69,1.34,0.88,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,1.23,0.11,0.52,2.17,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,CON3,Surface Water,45.850167,-73.269167,2018,,,Unnamed_SPE_LCMS_MS,,,2.97,2.22,0.15,0.06,0.34,0.81,1.61,1.00,0.05,0.00,0.05,0.00,0.08,0.00,0.00,0.00,0.00,,1.31,0.13,0.61,2.35,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,IRQ1,Surface Water,44.581117,-75.679583,2018,,,Unnamed_SPE_LCMS_MS,,,2.77,1.72,0.21,0.04,0.26,0.79,1.58,0.86,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,1.35,0.16,0.67,2.65,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.04,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,IRQ1v5,Surface Water,44.736,-75.456472,2018,,,Unnamed_SPE_LCMS_MS,,,2.35,1.86,0.18,0.05,0.25,0.72,1.48,0.98,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,1.23,0.13,0.47,2.52,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,IRQ2,Surface Water,44.81975,-75.315517,2018,,,Unnamed_SPE_LCMS_MS,,,2.79,1.94,0.15,0.04,0.26,0.74,1.47,0.91,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,1.25,0.14,0.53,2.40,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,LSF2,Surface Water,45.20903,-74.23228,2018,,,Unnamed_SPE_LCMS_MS,,,2.62,1.98,0.24,0.05,0.26,0.73,1.52,1.04,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,1.33,0.12,0.48,2.43,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,LSF4,Surface Water,45.041783,-74.575214,2018,,,Unnamed_SPE_LCMS_MS,,,2.51,2.04,0.15,0.06,0.30,0.76,1.46,0.93,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,1.29,0.13,0.50,2.27,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,LSL1B,Surface Water,45.357467,-73.809383,2018,,,Unnamed_SPE_LCMS_MS,,,2.18,1.55,0.10,0.04,0.21,0.56,1.11,0.84,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,1.04,0.10,0.43,2.27,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,LSL3,Surface Water,45.379667,-73.809383,2018,,,Unnamed_SPE_LCMS_MS,,,2.36,1.96,0.15,0.05,0.26,0.70,1.52,0.90,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,1.31,0.14,0.58,2.00,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
