Article (Author et al YYYY),Sample Name,Sample Type,Latitude,Longitude,Sampling Year,Sample Date (MM/DD/YYY),Sample Time,Analysis Method,Streamflow (m3/s),Sampling Depth (m),PFOS,PFOA,FBSA,PFDA,PFNA,PFHxS,PFHxA,PFHpA,PFHpS,GenX,4:2 FTS,6:2 FTS,8:2 FTS,10:2 FTS,3:3 FTCA,5:3 FTCA,7:3 FTCA,PFPA,PFPeA,PFPeS,PFBS,PFBA,PFMOPrA,PFMOBA,PFMOAA,PFO2HxA,PFO3OA,PFO4DA,PFESA BP 1,PFESA BP 2,PFDoS,PFUnDA,FOSAA,N-MeFOSE,NMeFOSAA,NMeFOSA,N-EtFOSE,NEtFOSAA,N-EtFOSA,PFDS,PFTeDA,PFHxDA,PFNS,PFTrDA,PFDoA,PFOSA,9-Cl-PF3ONS,11-Cl-PF3OUdS,PFECA-G,ADONA,PFEESA,NFDHA,PFMBA,PFODA
Teymoorian_et_al_2021,Rivire Saint-Louis Beauharnois,Surface Water,45.314311,-73.879944,2019,,,Unnamed_SPE_LCMS_MS,,,0.80,0.86,0.00,0.00,0.11,0.24,1.29,0.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,1.25,0.08,0.56,3.95,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,Rivire Saint-Maurice Trois-Rivires,Surface Water,46.3647,-72.5521,2019,,,Unnamed_SPE_LCMS_MS,,,0.25,0.28,0.00,0.11,0.21,0.02,0.21,0.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.21,0.00,0.06,0.79,0.00,0.00,,,,,,,0.00,0.09,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,Rivire Saint-Rgis Sainte-Catherine,Surface Water,45.3993,-73.5639,2019,,,Unnamed_SPE_LCMS_MS,,,0.21,0.38,0.00,0.00,0.17,0.03,0.28,0.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.28,0.01,0.14,1.01,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,Rivire Varennes Varennes,Surface Water,45.671156,-73.435808,2019,,,Unnamed_SPE_LCMS_MS,,,0.81,2.14,0.03,0.07,0.32,0.26,2.59,1.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,1.95,0.06,0.99,4.53,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,Rivire Yamachiche Yamachiche,Surface Water,46.2662,-72.8066,2019,,,Unnamed_SPE_LCMS_MS,,,0.16,0.32,0.00,0.00,0.10,0.07,0.36,0.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.25,0.00,0.11,2.01,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,Rivire Yamaska Yamaska,Surface Water,46.0052,-72.9121,2019,,,Unnamed_SPE_LCMS_MS,,,2.60,3.03,0.04,0.22,0.51,0.43,2.45,1.79,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,2.37,0.13,0.71,3.00,0.00,0.00,,,,,,,0.00,0.07,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,Petite Rivire Du Chne Leclercville,Surface Water,46.572733,-71.993158,2019,,,Unnamed_SPE_LCMS_MS,,,0.20,0.54,0.00,0.00,0.14,0.05,0.51,0.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.52,0.01,0.19,2.33,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,BOU1,Surface Water,45.64867,-73.48136,2019,,,Unnamed_SPE_LCMS_MS,,,2.76,2.02,0.10,0.05,0.33,0.80,1.80,0.93,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,1.45,0.14,0.51,2.43,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,BOU2,Surface Water,45.644183,-73.466233,2019,,,Unnamed_SPE_LCMS_MS,,,2.70,2.12,0.09,0.06,0.38,0.77,1.64,1.04,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,1.49,0.13,0.50,2.45,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,BOU4,Surface Water,45.569363,-73.507785,2019,,,Unnamed_SPE_LCMS_MS,,,2.82,2.13,0.09,0.06,0.38,0.83,1.64,0.96,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,1.39,0.13,0.52,2.55,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,CON1,Surface Water,45.845717,-73.310067,2019,,,Unnamed_SPE_LCMS_MS,,,1.66,1.31,0.05,0.06,0.30,0.46,1.10,0.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,1.11,0.07,0.39,1.91,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,CON2,Surface Water,45.8538,-73.27965,2019,,,Unnamed_SPE_LCMS_MS,,,2.68,2.07,0.08,0.07,0.34,0.73,1.68,0.98,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,1.53,0.12,0.59,2.45,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,CON3,Surface Water,45.850167,-73.269167,2019,,,Unnamed_SPE_LCMS_MS,,,2.77,2.15,0.11,0.05,0.33,0.83,1.72,1.04,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,1.45,0.14,0.57,2.57,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,LSL1,Surface Water,45.357467,-73.809383,2019,,,Unnamed_SPE_LCMS_MS,,,2.57,2.27,0.10,0.06,0.38,0.75,1.65,0.99,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,1.32,0.13,0.52,2.37,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,LSL2,Surface Water,45.396183,-73.838062,2019,,,Unnamed_SPE_LCMS_MS,,,2.95,2.20,0.12,0.07,0.41,0.83,1.71,1.02,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,1.60,0.13,0.52,2.58,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,LSL3,Surface Water,45.379667,-73.809383,2019,,,Unnamed_SPE_LCMS_MS,,,2.89,2.24,0.10,0.08,0.42,0.78,1.63,0.98,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,1.37,0.14,0.50,2.56,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,LSPA1,Surface Water,46.267261,-72.718877,2019,,,Unnamed_SPE_LCMS_MS,,,2.50,1.84,0.07,0.07,0.33,0.65,1.50,0.95,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,1.22,0.10,0.51,2.17,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,LSPA2,Surface Water,46.263524,-72.708745,2019,,,Unnamed_SPE_LCMS_MS,,,2.82,2.14,0.10,0.07,0.38,0.78,1.65,1.01,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,1.33,0.12,0.51,2.57,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,LSPA3,Surface Water,46.256587,-72.694571,2019,,,Unnamed_SPE_LCMS_MS,,,2.57,2.00,0.14,0.08,0.37,0.74,1.60,0.93,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,1.41,0.11,0.50,2.48,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,LSPM1,Surface Water,46.22665,-72.854883,2019,,,Unnamed_SPE_LCMS_MS,,,2.34,1.77,0.12,0.06,0.33,0.62,1.40,1.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,1.18,0.09,0.47,2.04,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,LSPM2,Surface Water,46.204067,-72.824783,2019,,,Unnamed_SPE_LCMS_MS,,,2.76,2.15,0.10,0.07,0.36,0.81,1.64,0.89,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,1.40,0.12,0.49,2.46,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,LSPM3,Surface Water,46.183033,-72.799467,2019,,,Unnamed_SPE_LCMS_MS,,,2.68,2.07,0.15,0.06,0.37,0.77,1.54,0.92,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,1.32,0.11,0.54,2.33,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,ORL1,Surface Water,47.058254,-70.75197,2019,,,Unnamed_SPE_LCMS_MS,,,2.86,2.21,0.07,0.11,0.44,0.65,1.67,0.83,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,1.21,0.10,0.45,3.58,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,ORL2,Surface Water,47.013333,-70.698767,2019,,,Unnamed_SPE_LCMS_MS,,,2.17,1.62,0.06,0.05,0.31,0.67,1.32,0.91,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,1.26,0.11,0.60,2.35,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,ORL3,Surface Water,46.98877,-70.661748,2019,,,Unnamed_SPE_LCMS_MS,,,2.39,1.89,0.08,0.06,0.34,0.71,1.40,1.01,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,1.25,0.11,0.54,2.37,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,REP1,Surface Water,45.744983,-73.43195,2019,,,Unnamed_SPE_LCMS_MS,,,1.65,1.29,0.04,0.05,0.28,0.44,1.13,0.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.99,0.07,0.36,1.96,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,REP2,Surface Water,45.741667,-73.424033,2019,,,Unnamed_SPE_LCMS_MS,,,3.05,2.27,0.10,0.08,0.37,0.86,1.90,1.04,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,1.62,0.13,0.60,2.45,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,REP3,Surface Water,45.745028,-73.406417,2019,,,Unnamed_SPE_LCMS_MS,,,2.79,2.22,0.10,0.06,0.36,0.79,1.64,0.95,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,1.40,0.13,0.51,2.49,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,SAD1,Surface Water,46.72085,-71.4773,2019,,,Unnamed_SPE_LCMS_MS,,,2.23,1.86,0.07,0.07,0.35,0.67,1.37,0.99,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,1.24,0.11,0.47,2.34,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,SAD2,Surface Water,46.71368,-71.471017,2019,,,Unnamed_SPE_LCMS_MS,,,2.34,1.89,0.10,0.05,0.33,0.72,1.52,0.98,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,1.39,0.10,0.63,2.40,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,SAD3,Surface Water,46.705459,-71.461456,2019,,,Unnamed_SPE_LCMS_MS,,,2.22,1.91,0.10,0.05,0.32,0.69,1.51,0.96,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,1.25,0.11,0.48,2.47,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,SORAM1,Surface Water,46.073983,-73.088683,2019,,,Unnamed_SPE_LCMS_MS,,,2.35,1.85,0.07,0.08,0.37,0.64,1.54,0.90,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,1.29,0.10,0.45,2.09,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,SORAM2,Surface Water,46.067283,-73.07645,2019,,,Unnamed_SPE_LCMS_MS,,,2.78,2.06,0.09,0.09,0.40,0.73,1.71,1.00,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,1.33,0.13,0.52,2.39,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,SORAM3,Surface Water,46.06175,-73.0656,2019,,,Unnamed_SPE_LCMS_MS,,,2.59,2.10,0.10,0.06,0.37,0.78,1.66,1.01,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,1.35,0.12,0.50,2.36,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,SORAV1,Surface Water,46.172584,-72.964877,2019,,,Unnamed_SPE_LCMS_MS,,,2.28,1.75,0.05,0.07,0.35,0.61,1.46,0.90,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,1.32,0.09,0.45,2.38,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,SORAV2,Surface Water,46.13472,-72.952109,2019,,,Unnamed_SPE_LCMS_MS,,,2.58,2.04,0.09,0.06,0.37,0.75,1.69,1.06,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,1.53,0.12,0.50,2.35,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,SORAV3,Surface Water,46.160331,-72.949478,2019,,,Unnamed_SPE_LCMS_MS,,,2.75,2.11,0.13,0.07,0.36,0.80,1.58,1.01,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,1.33,0.13,0.52,2.36,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,STA1,Surface Water,46.57575,-72.098125,2019,,,Unnamed_SPE_LCMS_MS,,,2.18,1.61,0.06,0.06,0.35,0.62,1.33,0.87,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,1.17,0.11,0.45,2.02,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,STA2,Surface Water,46.569129,-72.098872,2019,,,Unnamed_SPE_LCMS_MS,,,2.46,1.88,0.08,0.05,0.33,0.67,1.37,0.90,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,1.23,0.10,0.45,2.18,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,STA3,Surface Water,46.562646,-72.10002,2019,,,Unnamed_SPE_LCMS_MS,,,2.67,2.14,0.12,0.08,0.37,0.78,1.71,1.02,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,1.49,0.12,0.54,2.45,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,STM1,Surface Water,46.349237,-72.527838,2019,,,Unnamed_SPE_LCMS_MS,,,0.15,0.29,0.00,0.03,0.21,0.02,0.24,0.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.16,0.00,0.07,0.90,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,STM2,Surface Water,46.345992,-72.529377,2019,,,Unnamed_SPE_LCMS_MS,,,2.45,1.93,0.10,0.06,0.33,0.74,1.55,1.03,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,1.35,0.10,0.56,2.43,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,STM3,Surface Water,46.340461,-72.520947,2019,,,Unnamed_SPE_LCMS_MS,,,2.40,1.99,0.11,0.08,0.38,0.73,1.64,1.00,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,1.36,0.12,0.52,2.32,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,TCL1,Surface Water,45.588744,-73.497937,2019,,,Unnamed_SPE_LCMS_MS,,,3.03,2.37,0.11,0.08,0.41,0.81,1.77,1.03,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,1.36,0.12,0.52,2.53,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,TCM1,Surface Water,45.7048,-73.478117,2019,,,Unnamed_SPE_LCMS_MS,,,0.42,0.54,0.00,0.04,0.25,0.09,0.46,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.41,0.01,0.16,1.12,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,TCM2,Surface Water,45.712764,-73.444502,2019,,,Unnamed_SPE_LCMS_MS,,,5.24,2.48,0.09,0.21,0.52,0.85,2.89,1.27,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,2.70,0.14,0.65,2.99,0.00,0.00,,,,,,,0.00,0.06,0.00,,0.00,0.00,,0.00,0.00,0.11,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,TCM3,Surface Water,45.703167,-73.444867,2019,,,Unnamed_SPE_LCMS_MS,,,2.78,2.32,0.09,0.07,0.38,0.81,1.81,1.02,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,1.35,0.14,0.56,2.62,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,TRA1,Surface Water,45.996917,-73.187017,2019,,,Unnamed_SPE_LCMS_MS,,,1.57,1.36,0.04,0.06,0.30,0.46,1.18,0.81,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.97,0.06,0.41,1.97,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,TRA2,Surface Water,45.996392,-73.183399,2019,,,Unnamed_SPE_LCMS_MS,,,2.35,1.80,0.06,0.08,0.37,0.62,1.58,0.98,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,1.32,0.09,0.48,2.34,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,TRA3,Surface Water,45.995608,-73.17874,2019,,,Unnamed_SPE_LCMS_MS,,,3.06,2.14,0.11,0.06,0.37,0.80,1.65,0.97,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,1.44,0.14,0.54,2.51,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,QC1,Surface Water,46.843411,-71.179714,2019,,,Unnamed_SPE_LCMS_MS,,,2.40,1.79,0.08,0.07,0.33,0.69,1.50,0.98,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,1.34,0.12,0.51,2.28,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,QC2,Surface Water,46.83937,-71.166825,2019,,,Unnamed_SPE_LCMS_MS,,,2.89,2.15,0.06,0.10,0.40,0.67,1.60,0.87,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,1.27,0.11,0.43,3.94,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,QC3,Surface Water,46.833885,-71.152614,2019,,,Unnamed_SPE_LCMS_MS,,,2.08,1.69,0.07,0.05,0.30,0.63,1.26,0.89,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,1.08,0.10,0.43,2.06,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,Belle Rivire Mirabel BR3,Surface Water,45.649902,-74.093588,2020,,,Unnamed_SPE_LCMS_MS,,,155.87,18.76,7.13,0.00,4.86,111.02,133.37,53.87,3.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,104.38,12.10,7.77,30.44,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.07,0.00,,0.00,0.00
Teymoorian_et_al_2021,Rivire la Scie Lvis Point 1,Surface Water,46.7678,-71.199,2020,,,Unnamed_SPE_LCMS_MS,,,0.83,0.87,0.00,0.00,0.04,0.27,1.06,0.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.33,0.02,0.00,1.47,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,Rivire la Scie Lvis Point 2,Surface Water,46.7655,-71.204132,2020,,,Unnamed_SPE_LCMS_MS,,,1.88,0.93,0.00,0.00,0.08,0.91,0.99,0.93,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,1.35,0.06,0.00,0.84,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,Rivire la Tortue Delson,Surface Water,45.3922,-73.5381,2020,,,Unnamed_SPE_LCMS_MS,,,1.02,1.31,0.10,0.05,0.25,0.12,72.40,16.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,62.16,0.00,0.00,16.01,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
