Article (Author et al YYYY),Sample Name,Sample Type,Latitude,Longitude,Sampling Year,Sample Date (MM/DD/YYY),Sample Time,Analysis Method,Streamflow (m3/s),PFOS,PFOA,FBSA,PFDA,PFNA,PFHxS,PFHxA,PFHpA,PFHpS,GenX,4:2 FTS,6:2 FTS,8:2 FTS,10:2 FTS,3:3 FTCA,5:3 FTCA,7:3 FTCA,PFPA,PFPeA,PFPeS,PFBS,PFBA,PFMOPrA,PFMOBA,PFMOAA,PFO2HxA,PFO3OA,PFO4DA,PFESA BP 1,PFESA BP 2,PFDoS,PFUnDA,FOSAA,N-MeFOSE,NMeFOSAA,NMeFOSA,N-EtFOSE,NEtFOSAA,N-EtFOSA,PFDS,PFTeDA,PFHxDA,PFNS,PFTrDA,PFDoA,PFOSA,9-Cl-PF3ONS,11-Cl-PF3OUdS,PFECA-G,ADONA,PFEESA,NFDHA,PFMBA
Scott_et_al_2009,N. Sask. R. d,Surface Water,52.768611,-108.333333,2005,,,Unnamed_SPE_LCMS_MS,,1.94,0.908,,0.046,0.214,0.347,1.04,2.1,<0.002,,,,,,,,,,,,<0.006,,,,,,,,,,,<0.007,,,,,,,,,<0.004,,,,<0.008,<0.008,,,,,,,
Scott_et_al_2009,N. Sask. R.,Surface Water,52.39,-106.9875,2005,,,Unnamed_SPE_LCMS_MS,,0.578,0.532,,0.043,0.179,0.098,0.314,0.705,<0.002,,,,,,,,,,,,<0.006,,,,,,,,,,,<0.004,,,,,,,,,<0.004,,,,<0.008,<0.008,,,,,,,
Scott_et_al_2009,Swift Current Ck.,Surface Water,50.290833,-107.780833,2005,,,Unnamed_SPE_LCMS_MS,,0.086,1.97,,<0.006,0.92,0.012,1.04,2.92,<0.002,,,,,,,,,,,,<0.006,,,,,,,,,,,<0.007,,,,,,,,,<0.004,,,,<0.008,<0.008,,,,,,,
Scott_et_al_2009,Quappelle R.,Surface Water,50.796389,-103.886389,2005,,,Unnamed_SPE_LCMS_MS,,0.116,3.28,,0.24,0.82,<0.008,0.96,2.66,<0.002,,,,,,,,,,,,<0.006,,,,,,,,,,,<0.007,,,,,,,,,<0.004,,,,<0.008,<0.008,,,,,,,
Scott_et_al_2009,Eagle Creek,Surface Water,52.214722,-107.395278,2007,,,Unnamed_SPE_LCMS_MS,,0.33,0.185,,<0.006,0.139,0.133,0.185,0.311,<0.002,,,,,,,,,,,,0.052,,,,,,,,,,,<0.007,,,,,,,,,0.002,,,,<0.008,<0.008,,,,,,,
Scott_et_al_2009,Frenchman R.,Surface Water,49.516111,-108.819722,2007,,,Unnamed_SPE_LCMS_MS,,0.099,0.077,,<0.006,<0.008,0.027,0.01,0.064,<0.002,,,,,,,,,,,,0.009,,,,,,,,,,,<0.007,,,,,,,,,<0.004,,,,<0.008,<0.008,,,,,,,
Scott_et_al_2009,Wascana R.,Surface Water,50.47683329,-104.7545126,2007,,,Unnamed_SPE_LCMS_MS,,5.08,3.17,,<0.006,1.03,1.07,1.29,1.52,<0.002,,,,,,,,,,,,0.213,,,,,,,,,,,<0.007,,,,,,,,,<0.004,,,,<0.008,4.943,,,,,,,
Scott_et_al_2009,N. Sask. R.,Surface Water,53.628333,-113.320833,2007,,,Unnamed_SPE_LCMS_MS,,1.93,0.984,,0.283,0.385,0.527,0.362,0.371,<0.002,,,,,,,,,,,,0.152,,,,,,,,,,,0.027,,,,,,,,,0.004,,,,0.022,0.925,,,,,,,
Scott_et_al_2009,Battle R.,Surface Water,52.865278,-110.040833,2005,,,Unnamed_SPE_LCMS_MS,,1.24,2.11,,0.03,0.527,0.71,1.28,2.11,<0.002,,,,,,,,,,,,<0.006,,,,,,,,,,,<0.007,,,,,,,,,<0.004,,,,<0.008,0.041,,,,,,,
Scott_et_al_2009,S. Sask. R. d,Surface Water,49.903611,-111.471111,2005,,,Unnamed_SPE_LCMS_MS,,0.286,0.662,,0.039,0.092,0.141,0.318,0.331,<0.002,,,,,,,,,,,,<0.006,,,,,,,,,,,<0.007,,,,,,,,,<0.004,,,,<0.008,<0.008,,,,,,,
