#,Country,City,Name of facility,Lat,Lon,Currently operating?,Mesaurement data - peer-reviewed? *(surface water_ groundwater_ air_ dust_ soil_ sediment_ plants_ animals_ humans),REMOVE FOR PUBLIC Other measurement data? Grey-literature and/or drinking water?,Nearby PFAS production?,Data included Table S3,Comment regarding nearby PFAS production (10 km radius),Company website information,Evidence of production Ref 2,Evidence of production Ref 3,Evidence of production Ref 4,Refs with measurement data (see Table S4)
22,Japan,Kamisu_ Ibaraki Prefecture,Daikin Industries – Kashima Plant,35.845,140.731,Yes,No,nothing found,,No,,https://www.daikinchemicals.com/company.html,Chemical Handbook_ 2021_ Japan. https://www.jkn.co.jp/h2_book09.html,https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://www.daikin.com/-/media/Project/Daikin/daikin_com/locations/PDF/Kashima_plant-pdf.pdf%3Frev%3D4d97d54e4a16499cacdf0ff9ad5a6ca6%26hash%3DDF735B08CD826575DDC72E3E4444CB45&ved=2ahUKEwipopWKx4-RAxUU9wIHHY-xFfkQFnoECBsQAQ&usg=AOvVaw1-MzQe4So8B3QZcRmiprUy,OECD report - https://www.oecd.org/en/publications/synthesis-report-on-understanding-fluoropolymers-and-their-life-cycle_35b035df-en.html,
23,Japan,Ichihara_ Chiba Prefecture,AGC – Chiba Plant,35.536,140.092,Yes,No,nothing found,,No,,https://www.agc-chemicals.com/jp/en/company/division/index.html,Chemical Handbook_ 2021_ Japan. https://www.jkn.co.jp/h2_book09.html,https://www.agc.com/en/news/detail/20040715e.html,OECD report - https://www.oecd.org/en/publications/synthesis-report-on-understanding-fluoropolymers-and-their-life-cycle_35b035df-en.html,
24,Japan,Settsu_ Osaka Prefecture,Daikin Industries – Yodogawa Plant,34.761,135.56,Yes,Yes,Yes,Maybe,Yes,Located in an industrial zone north of Osaka with other chemical producers (e.g._ Kaneka Osaka Plant_ Nippon Shokubai_ Honjo Chemical). No public evidence of independent PFAS production nearby.,https://www.daikinchemicals.com/company.html,Chemical Handbook_ 2021_ Japan. https://www.jkn.co.jp/h2_book09.html,https://www-pref-osaka-lg-jp-e.athp.transer.com/o120080/kankyohozen/shidou/pfoa.html,OECD report - https://www.oecd.org/en/publications/synthesis-report-on-understanding-fluoropolymers-and-their-life-cycle_35b035df-en.html,Asakawa2025_ Shiwaku2016_ Thepaksorn2023
25,Japan,Iwaki_ Fukushima Prefecture,Kureha – Iwaki Factory,36.9,140.779,Yes,No,nothing found,,No,,https://www.kureha.co.jp/en/about/plant.html,Chemical Handbook_ 2021_ Japan. https://www.jkn.co.jp/h2_book09.html,https://www.chinafluoropolymer.com/news/kureha-once-again-announced-the-expansion-of-p-70457821.html,OECD report - https://www.oecd.org/en/publications/synthesis-report-on-understanding-fluoropolymers-and-their-life-cycle_35b035df-en.html,
26,Japan,Shimizu_ Shizuoka,Chemours-Mitsui Fluoroproducts – Shimizu Factory,35.006,138.516,Yes,No,Yes,,No,,https://www.mc-fluoro.co.jp/about/,Chemical Handbook_ 2021_ Japan. https://www.jkn.co.jp/h2_book09.html,https://www.city.shizuoka.lg.jp/s5382/s012235.html,OECD report - https://www.oecd.org/en/publications/synthesis-report-on-understanding-fluoropolymers-and-their-life-cycle_35b035df-en.html,
27,China,Huantai County_ Shandong,Shandong Dongyue Chemical Co._ Ltd.,36.971,118.032,Yes,Yes,,Maybe,Yes,Located in a dense chemical industry cluster in Huantai County (Zibo)_ including Zibo Fengcang Chemical_ Zibo Tianshan Chemical_ and Jiuta Chemical Industry. Multiple nearby chemical plants; possible other additional Fluoropolymer-related manufacturing cannot be excluded.,https://www.dongyuechem.com/en/product-467.html,PFAS Restriction Proposal Annex A,https://link.springer.com/article/10.1186/s12302-020-00425-3/tables/1,OECD report - https://www.oecd.org/en/publications/synthesis-report-on-understanding-fluoropolymers-and-their-life-cycle_35b035df-en.html,ColomerVidal2022_ Feng2023_ Guo2023_ Heydebreck2015_ Joerss2020_ Li2022_ Li2025_ Liu2016_ Liu2019_ Liu2024_ Pan2017_ Sha2025_ Shi2015_ Su2016_ Su2017_ Wan2014_ Wang2016_ Xie2021_ Xie2022_ Yao2020_ Yao2021_ Zhao2020
28,China,Huantai County_ Shandong,Shandong Huaxia Shenzhou New Material Co._ Ltd.,36.971,118.032,Yes,Yes,,Maybe,Yes,Located in a dense chemical industry cluster in Huantai County (Zibo)_ including Zibo Fengcang Chemical_ Zibo Tianshan Chemical_ and Jiuta Chemical Industry. Multiple nearby chemical plants; possible other additional Fluoropolymer-related manufacturing cannot be excluded.,https://www.huaxiashenzhou.com/EN/about.aspx,,,,ColomerVidal2022_ Feng2023_ Guo2023_ Heydebreck2015_ Joerss2020_ Li2022_ Li2025_ Liu2016_ Liu2019_ Liu2024_ Pan2017_ Sha2025_ Shi2015_ Su2016_ Su2017_ Wan2014_ Wang2016_ Xie2021_ Xie2022_ Yao2020_ Yao2021_ Zhao2020
29,China,Jinan_ Shandong,Jinan 3F Fluorochemical Co._ Ltd. / Jinan Sinoflon New Material,36.898,117.451,Yes,No,,,No,,http://www.jnflonptfe.com/about_e/id/1.html,https://www.zionmarketresearch.com/report/fluoropolymer-films-market,http://www.10820.tradebig.com/,OECD report - https://www.oecd.org/en/publications/synthesis-report-on-understanding-fluoropolymers-and-their-life-cycle_35b035df-en.html,
30,China,Jinan_ Shandong,Shandong Hua Fluorochemical Co._ Ltd. (formerly Jinan Chemical Plant),36.898,117.451,Yes,No,,,No,,https://en.sdflon.com/company.html,https://link.springer.com/article/10.1186/s12302-020-00425-3/tables/1,,,
31,China,Linyi County_ Shandong,Shandong Deyi New Material Co._ Ltd.,37.162,116.816,Yes,No,nothing found,,No,,http://www.sddeyixcl.com/about_e/id/1.html,http://www.chemwells.com/en/news/106.html,,,
32,China,Huizhou_ Guangdong,Daikin Tsingyan Advanced Technologies – Huizhou,22.918,114.314,Yes,No,nothing found,,No,,https://www.daikinchemicals.com/company.html,https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://www.daikin.com/corporate/-/media/Project/Daikin/daikin_com/csr/2025/pdf/report/05_social-pdf.pdf&ved=2ahUKEwjk-NLT04-RAxUJ6AIHHTBTDOMQFnoECB0QAQ&usg=AOvVaw11j5yyemSD_SB6HaTkZNvP,,,Chen2016_ Hua2023_ Jin2015_ Joerss2020_ Liu2022_ Shan2014
